e_id,position,salary,start_date,end_date,perf_score,status
34845334,Corporate Secretary,150000,2023-11-28,2024-08-29,76,ACTIVE
34845334,Corporate Secretary,150000,2024-08-30,2024-09-01,76,ACTIVE
34845334,Corporate Secretary,155000,2024-09-02,,,ACTIVE
35242525,Compliance Manager,165000,2024-03-04,2024-06-01,,PROBATION
35242525,Compliance Manager,165000,2024-06-02,2024-06-23,90,ACTIVE
35242525,Compliance Manager,148500,2024-06-24,2024-08-24,,ACTIVE
35242525,Compliance Manager,165000,2024-08-25,2024-09-01,,ACTIVE
35242525,Head of Compliance,175000,2024-09-02,2025-03-03,,ACTIVE
35242525,Head of Compliance,185000,2025-03-04,,92,ACTIVE
36058655,Treasury Manager,150000,2024-05-03,2024-07-31,,PROBATION
36058655,Treasury Manager,150000,2024-08-01,2024-09-01,84,ACTIVE
36058655,Treasury Manager,155000,2024-09-02,,,ACTIVE
37812326,Partnerships Associate,95000,2024-12-16,2025-03-15,,PROBATION
37812326,Partnerships Associate,98000,2025-03-16,,78,ACTIVE
37959476,Payments Engineer,160000,2023-10-13,2024-01-10,,PROBATION
37959476,Payments Engineer,165000,2024-01-11,2024-10-12,89,ACTIVE
37959476,Senior Payments Engineer,172000,2024-10-13,,90,ACTIVE
42026990,Product Manager,165000,2023-11-20,2024-02-17,,PROBATION
42026990,Product Manager,170000,2024-02-18,2024-11-19,88,ACTIVE
42026990,Senior Product Manager,175000,2024-11-20,,88,ACTIVE
42365420,Private Sales Associate,106000,2025-01-20,2025-04-19,,PROBATION
42365420,Private Sales Associate,110000,2025-04-20,,79,ACTIVE
45562918,Account Manager,128000,2024-04-18,2024-07-16,,PROBATION
45562918,Account Manager,128000,2024-07-17,2024-09-01,78,ACTIVE
45562918,Marketplace Account Manager,132000,2024-09-02,2025-04-17,,ACTIVE
45562918,Marketplace Account Manager,132000,2025-04-18,,76,ACTIVE
45672962,Institutional Partnerships Manager,140000,2024-01-12,2024-04-10,,PROBATION
45672962,Institutional Partnerships Manager,145000,2024-04-11,2024-06-09,86,ACTIVE
45672962,Institutional Partnerships Manager,145000,2024-06-10,2024-06-10,,LAID_OFF
47132966,Provenance Specialist,105000,2023-09-15,2023-12-13,,PROBATION
47132966,Provenance Specialist,105000,2023-12-11,2023-12-15,,PTO
47132966,Provenance Specialist,105000,2023-12-14,2024-09-01,75,ACTIVE
47132966,Provenance Specialist,105000,2024-04-08,2024-04-12,,PTO
47132966,Senior Provenance Specialist,108000,2024-09-02,2024-09-14,,ACTIVE
47132966,Senior Provenance Specialist,108000,2024-09-15,,75,ACTIVE
48048698,Community Partnerships Coordinator,90000,2024-04-08,2024-06-09,,PROBATION
48048698,Community Partnerships Coordinator,90000,2024-06-10,2024-06-10,,LAID_OFF
48499646,Chief Financial Officer,210000,2023-12-08,2024-03-06,,PROBATION
48499646,Chief Financial Officer,210000,2024-03-07,2024-05-27,82,ACTIVE
48499646,Chief Financial Officer,210000,2024-04-15,2024-04-19,,PTO
48499646,Chief Financial Officer,210000,2024-05-28,2024-06-21,,RESIGNED
52013329,Estate Partnerships Manager,150000,2024-11-18,2025-02-15,,PROBATION
52013329,Estate Partnerships Manager,150000,2025-02-10,2025-02-14,,PTO
52013329,Estate Partnerships Manager,155000,2025-02-16,,86,ACTIVE
54817760,Partnerships Manager,140000,2024-03-18,2024-06-15,,PROBATION
54817760,Partnerships Manager,140000,2024-06-16,2024-09-01,85,ACTIVE
54817760,Estate and Dealer Partnerships Manager,145000,2024-09-02,2025-03-17,,ACTIVE
54817760,Estate and Dealer Partnerships Manager,150000,2025-03-18,,88,ACTIVE
57490270,Collections Cataloguing Specialist,98000,2024-04-20,2024-06-09,,PROBATION
57490270,Collections Cataloguing Specialist,98000,2024-06-10,2024-06-10,,LAID_OFF
58076477,Platform Engineer,172000,2024-09-12,2024-12-10,,PROBATION
58076477,Platform Engineer,180000,2024-12-11,,85,ACTIVE
58693688,Restoration Projects Coordinator,100000,2024-04-21,2024-06-09,,PROBATION
58693688,Restoration Projects Coordinator,100000,2024-06-10,2024-06-10,,LAID_OFF
59497116,General Counsel,210000,2023-12-06,2024-03-04,,PROBATION
59497116,General Counsel,215000,2024-03-05,2024-06-23,90,ACTIVE
59497116,General Counsel,193500,2024-06-24,2024-08-24,,ACTIVE
59497116,General Counsel,215000,2024-08-25,2024-12-05,,ACTIVE
59497116,General Counsel,225000,2024-12-06,,92,ACTIVE
60601369,Provenance Researcher,115000,2025-02-03,,,PROBATION
60706330,Head of Asset Operations,160000,2023-09-01,2023-11-18,,PROBATION
60706330,Head of Asset Operations,165000,2023-11-19,2023-11-29,,PROBATION
60706330,Head of Asset Operations,172000,2023-11-30,2024-06-23,92,ACTIVE
60706330,Head of Asset Operations,154800,2024-06-24,2024-08-24,,ACTIVE
60706330,Head of Asset Operations,172000,2024-08-25,2024-08-31,,ACTIVE
60706330,Head of Asset Operations,180000,2024-09-01,,93,ACTIVE
62391038,UX Designer,130000,2023-11-22,2024-02-19,,PROBATION
62391038,UX Designer,132000,2024-02-20,2024-05-23,82,ACTIVE
62391038,UX Designer,132000,2024-05-24,2024-06-07,,RESIGNED
63322433,Software Engineer,145000,2024-02-05,2024-05-04,,PROBATION
63322433,Software Engineer,148000,2024-05-05,2025-02-04,84,ACTIVE
63322433,Senior Software Engineer,152000,2025-02-05,,87,ACTIVE
63336966,Logistics Manager,145000,2023-09-05,2023-11-18,,PROBATION
63336966,Logistics Manager,150000,2023-11-19,2023-12-03,,PROBATION
63336966,Logistics Manager,152000,2023-12-04,2024-06-23,84,ACTIVE
63336966,Logistics Manager,144400,2024-06-24,2024-08-24,,ACTIVE
63336966,Logistics Manager,144400,2024-07-15,2024-07-19,,PTO
63336966,Logistics Manager,152000,2024-08-25,2024-09-01,,ACTIVE
63336966,Logistics and Custody Manager,152000,2024-09-02,2024-09-04,,ACTIVE
63336966,Logistics and Custody Manager,155000,2024-09-05,,85,ACTIVE
64166280,Partnerships Director,155000,2023-09-11,2023-11-18,,PROBATION
64166280,Partnerships Director,160000,2023-11-19,2023-12-09,,PROBATION
64166280,Partnerships Director,168000,2023-12-10,2024-06-23,93,ACTIVE
64166280,Partnerships Director,151200,2024-06-24,2024-08-24,,ACTIVE
64166280,Partnerships Director,168000,2024-08-25,2024-09-01,,ACTIVE
64166280,Head of Seller Partnerships,168000,2024-09-02,2024-09-10,,ACTIVE
64166280,Head of Seller Partnerships,175000,2024-09-11,,92,ACTIVE
64166280,Head of Seller Partnerships,175000,2024-09-16,2024-09-20,,PTO
66409136,Quality Assurance Engineer,130000,2024-02-12,2024-05-11,,PROBATION
66409136,Quality Assurance Engineer,130000,2024-05-12,2024-05-27,62,ACTIVE
66409136,Quality Assurance Engineer,130000,2024-05-28,2024-05-30,,SUSPENDED
66409136,Quality Assurance Engineer,130000,2024-05-31,2024-05-31,,TERMINATED
67723916,Custody Coordinator,105000,2024-04-22,2024-07-20,,PROBATION
67723916,Custody Coordinator,105000,2024-07-21,2025-04-21,75,ACTIVE
67723916,Custody Coordinator,105000,2025-04-22,,75,ACTIVE
69733054,Data Engineer,150000,2023-10-20,2024-01-17,,PROBATION
69733054,Data Engineer,155000,2024-01-18,2024-10-19,86,ACTIVE
69733054,Data Engineer,155000,2024-04-22,2024-04-26,,SICK_LEAVE
69733054,Senior Data Engineer,160000,2024-10-20,,85,ACTIVE
72738553,Backend Engineer,155000,2023-10-06,2024-01-03,,PROBATION
72738553,Backend Engineer,160000,2024-01-04,2024-10-05,84,ACTIVE
72738553,Backend Engineer,160000,2024-01-22,2024-01-26,,SICK_LEAVE
72738553,Senior Backend Engineer,165000,2024-10-06,,86,ACTIVE
72880343,Director of Private Sales,185000,2024-09-16,2024-12-14,,PROBATION
72880343,Director of Private Sales,195000,2024-12-15,,93,ACTIVE
73920966,Heritage Projects Coordinator,100000,2024-04-24,2024-06-09,,PROBATION
73920966,Heritage Projects Coordinator,100000,2024-06-10,2024-06-10,,LAID_OFF
75941901,Compliance Analyst,115000,2023-12-13,2024-03-11,,PROBATION
75941901,Compliance Analyst,120000,2024-03-12,2024-06-23,82,ACTIVE
75941901,AML and KYC Analyst,120000,2024-06-24,2024-12-12,,ACTIVE
75941901,AML and KYC Analyst,120000,2024-12-13,,77,ACTIVE
75941901,AML and KYC Analyst,120000,2025-01-13,2025-01-17,,SICK_LEAVE
77404927,Client Relations Manager,145000,2024-04-10,2024-07-08,,PROBATION
77404927,Client Relations Manager,145000,2024-07-09,2024-09-01,84,ACTIVE
77404927,Buyer Relations Manager,145000,2024-09-02,2025-04-09,,ACTIVE
77404927,Buyer Relations Manager,155000,2025-04-10,,89,ACTIVE
79784072,Support Specialist,72000,2023-12-18,2024-03-16,,PROBATION
79784072,Support Specialist,75000,2024-03-17,2024-12-17,78,ACTIVE
79784072,Support Specialist,75000,2024-05-06,2024-05-10,,SICK_LEAVE
79784072,Support Specialist,75000,2024-12-18,,74,ACTIVE
80798169,Museum Partnerships Manager,135000,2024-03-25,2024-06-09,,PROBATION
80798169,Museum Partnerships Manager,135000,2024-06-10,2024-06-10,,LAID_OFF
81820605,Insurance Coordinator,112000,2024-04-22,2024-07-20,,PROBATION
81820605,Insurance Coordinator,112000,2024-07-21,2025-04-21,77,ACTIVE
81820605,Insurance Coordinator,112000,2025-04-22,,77,ACTIVE
84271599,Investor Relations Associate,100000,2024-04-15,2024-06-09,,PROBATION
84271599,Investor Relations Associate,100000,2024-06-10,2024-06-10,,LAID_OFF
84921849,Site Reliability Engineer,160000,2023-12-04,2024-03-02,,PROBATION
84921849,Site Reliability Engineer,160000,2024-02-12,2024-02-23,,SICK_LEAVE
84921849,Site Reliability Engineer,165000,2024-03-03,2024-12-03,88,ACTIVE
84921849,Senior Site Reliability Engineer,178000,2024-12-04,,90,ACTIVE
87292197,Client Escalations Specialist,115000,2024-05-09,2024-06-23,,PROBATION
87292197,Trust and Safety Investigator,115000,2024-06-24,2024-08-06,,ACTIVE
87292197,Client Escalations Specialist,115000,2024-08-07,2024-09-01,88,ACTIVE
87292197,Trust and Safety Investigator,120000,2024-09-02,2024-12-31,,ACTIVE
87292197,Trust and Safety Investigator,125000,2025-01-01,,,ACTIVE
87453291,Cataloguing Specialist,102000,2025-02-18,,,PROBATION
87453291,Cataloguing Specialist,102000,2025-03-24,2025-03-28,,PTO
87658927,Reconciliation Analyst,108000,2023-10-24,2024-01-21,,PROBATION
87658927,Reconciliation Analyst,108000,2024-01-22,2024-06-23,74,ACTIVE
87658927,Transaction Reconciliation Analyst,108000,2024-06-24,2024-09-01,,ACTIVE
87658927,Transaction Reconciliation Analyst,112000,2024-09-02,2024-10-23,,ACTIVE
87658927,Transaction Reconciliation Analyst,112000,2024-10-24,,74,ACTIVE
88376361,Communications Specialist,100000,2024-01-08,2024-04-06,,PROBATION
88376361,Communications Specialist,102000,2024-04-07,2024-05-30,81,ACTIVE
88376361,Communications Specialist,102000,2024-05-31,2024-06-14,,RESIGNED
89960741,Security Engineer,165000,2024-02-27,2024-05-26,,PROBATION
89960741,Security Engineer,172000,2024-05-27,2025-02-26,87,ACTIVE
89960741,Senior Security Engineer,175000,2025-02-27,,88,ACTIVE
90286702,Analytics Engineer,145000,2023-12-01,2024-02-28,,PROBATION
90286702,Analytics Engineer,150000,2024-02-29,2024-05-27,83,ACTIVE
90286702,Analytics Engineer,150000,2024-05-28,2024-06-14,,RESIGNED
90543121,Risk Analyst,130000,2024-03-11,2024-06-08,,PROBATION
90543121,Risk Analyst,130000,2024-06-09,2025-03-10,72,ACTIVE
90543121,Risk Analyst,130000,2025-03-11,,64,ACTIVE
90903063,Backend Engineer,155000,2023-11-27,2024-02-24,,PROBATION
90903063,Backend Engineer,160000,2024-02-25,2024-11-26,86,ACTIVE
90903063,Senior Backend Engineer,168000,2024-11-27,,89,ACTIVE
90907400,Chief Operating Officer,220000,2024-10-07,2025-01-04,,ACTIVE
90907400,Chief Operating Officer,230000,2025-01-05,,86,ACTIVE
90907400,Chief Operating Officer,230000,2025-04-07,2025-04-11,,PTO
92189967,Strategy and Governance Manager,150000,2023-08-28,2023-11-18,,PROBATION
92189967,Strategy and Governance Manager,155000,2023-11-19,2023-11-25,,PROBATION
92189967,Strategy and Governance Manager,160000,2023-11-26,2024-08-27,86,ACTIVE
92189967,Strategy and Governance Manager,165000,2024-08-28,,88,ACTIVE
95209691,Client Services Specialist,75000,2023-11-03,2024-01-31,,PROBATION
95209691,Client Services Specialist,75000,2024-02-01,2024-09-01,76,ACTIVE
95209691,Client Services Specialist,75000,2024-02-05,2024-02-09,,PTO
95209691,Client Services Specialist,78000,2024-09-02,2024-11-02,,ACTIVE
95209691,Client Services Specialist,78000,2024-11-03,,75,ACTIVE
95209691,Client Services Specialist,78000,2024-11-25,2024-11-29,,PTO
96187039,Transaction Operations Specialist,112000,2024-09-20,2024-12-18,,PROBATION
96187039,Transaction Operations Specialist,118000,2024-12-19,,84,ACTIVE
98283879,HR Generalist,95000,2025-03-17,,,PROBATION
99260273,Valuation Coordinator,118000,2024-04-21,2024-07-19,,PROBATION
99260273,Valuation Coordinator,118000,2024-07-20,2024-09-01,79,ACTIVE
99260273,Valuation Coordinator,122000,2024-09-02,2025-04-20,,ACTIVE
99260273,Valuation Coordinator,122000,2025-04-21,,74,ACTIVE
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
