t_id,vendor,buyer,prod_id,date_time,price,validated_by,status
24100802,quinn.cho,windermerepublicartconservan,100678,45573.437,231000,72880343,COMPLETED
24100803,elmsteadhistoricalsociety,vanecapital2,100760,45573.50454,266500,75941901,COMPLETED
24100804,cassidy.ito,ashcroftcapital2,100507,45573.54002,769000,36058655,COMPLETED
24100805,julia.roberts,helvale7,100489,45573.70787,153500,72880343,COMPLETED
24100806,yorkfieldfurnituredesignarch,valecapital2,100018,45573.72484,212000,96187039,COMPLETED
24100807,elias.estrada,malik.johnson,100570,45573.75157,650500,,CANCELLED
24100808,redcedarfolkartfoundation,elmsteadhistoricalsociety,100633,45573.8503,417500,87658927,COMPLETED
24100901,aiden.patel,selene78,100378,45574.37969,693500,87292197,COMPLETED
24100902,pineharborrailwayhistorycent,wexlercapital2,100554,45574.38792,638000,23121126,COMPLETED
24100903,harborlightmuseumofprintedar,windermeredesignheritage_org,100049,45574.39123,644500,45562918,COMPLETED
24100904,pineharborrailwayhistorycent,wexlercapital2,100577,45574.46552,354000,45562918,COMPLETED
24100905,rosemontmuseumofmoderncraftd,EleanorRook,100106,45574.47787,566500,75941901,COMPLETED
24100906,southbanktextilearchive,CelesteRoth,100273,45574.4888,542000,87658927,COMPLETED
24100907,ethan.knight,southbankmaritimeheritagemus,100204,45574.48888,123000,36058655,COMPLETED
24100908,southbankmaritimeheritagemus,ashcroftcapital2,100521,45574.53402,1267000,87658927,COMPLETED
24100909,theo.foster,ashcroftcapital2,100206,45574.57251,334000,16660212,COMPLETED
24100910,brookfieldhistorichousefound,elliscollections,100112,45574.66358,746000,96187039,COMPLETED
24100911,juniperridgepublicartconserv,davisauctionpartners,100374,45574.67979,605500,45562918,COMPLETED
24100912,ftran_westhave,davisauctionpartners,100450,45574.82847,443500,96187039,COMPLETED
24100913,ftran_westhave,ashcroftcollection,100305,45574.86983,104500,87658927,COMPLETED
24101001,elmsteadculturalpreservation,crosscapital2,100286,45575.39601,476500,23121126,COMPLETED
24101002,southbanktextilearchive,ronanA,100245,45575.43479,620500,72880343,COMPLETED
24101003,aaron.olsen,caesar,100359,45575.45472,899500,35242525,COMPLETED
24101004,lucia.knight,aaron.olsen,100218,45575.47263,440000,36058655,COMPLETED
24101005,copperlinemuseumofphotograph,TheoKincaid,100540,45575.55587,1582000,23121126,COMPLETED
24101006,quinn.campbell,akira.bennett,100517,45575.69028,994000,77404927,COMPLETED
24101007,elmsteadculturalmemoryprojec,windermeredesignheritage_org,100221,45575.71524,633500,45562918,COMPLETED
24101008,redcedarfolkartfoundation,parkhurstpublicartconservanc,100556,45575.72557,1253000,,PENDING
24101009,windermeremuseumofmoderncraf,rothartadvisory,100712,45575.83836,4017000,,CANCELLED
24101101,aaron.olsen,crosscapital2,100596,45576.38471,1887000,72880343,COMPLETED
24101102,imani.reed,ashlandmuseumofprintedarts,100272,45576.53194,285000,23121126,COMPLETED
24101103,malik.johnson,HelenaVale,100290,45576.55785,1892000,96187039,REJECTED
24101104,foxgloveartistslegacytrust,DominicHale,100484,45576.65383,613000,16660212,COMPLETED
24101105,isaac.shah,harborlightpublicartconserva,100346,45576.6797,1171000,72880343,COMPLETED
24101106,harborlightpublicartconserva,ari.turner,100195,45576.78563,1679000,36058655,COMPLETED
24101201,eastgateindustrialartsmuseum,andersonartadvisory,100134,45577.48753,326500,72880343,COMPLETED
24101202,eastgateindustrialartsmuseum,EleanorRook,100337,45577.5942,430000,87658927,COMPLETED
24101203,copperlinemuseumofphotograph,mwexler_alt,100673,45577.62352,286000,,PENDING
24101204,hearthstonefolkartarchive,rothartadvisory,100312,45577.64272,532000,77404927,REJECTED
24101401,oakhollowmuseumofappliedarts,ronanA,100621,45579.39256,797500,,CANCELLED
24101402,oakhollowmuseumofappliedarts,ruby.reed,100261,45579.39571,721500,96187039,COMPLETED
24101403,northbridgemuseumofmoderncra,priya.lane,100012,45579.47634,110500,35242525,COMPLETED
24101404,theo.foster,redcedarfolkartfoundation,100589,45579.51024,304000,23121126,CANCELLED
24101405,nathan58,aiden.patel,100440,45579.54858,894000,87292197,COMPLETED
24101406,georgia.lee,nwhitmore_family2,100034,45579.59988,105000,,PENDING
24101407,mina.singh,MWexler,100056,45579.60135,271000,16660212,COMPLETED
24101408,ashlanddecorativeartsarchive,kai.romero,100548,45579.64061,324500,75941901,COMPLETED
24101409,ari.turner,tariqinvests,100666,45579.6408,189000,96187039,COMPLETED
24101501,heritagerowceramicsmuseum,CeliaSterling,100667,45580.37057,274000,72880343,COMPLETED
24101502,quinn.cho,walkercollections,100150,45580.42623,423500,75941901,COMPLETED
24101503,akira.bennett,liucollections,100370,45580.606,170000,96187039,CANCELLED
24101601,felix.romero,valecapital2,100449,45581.65583,409000,87658927,COMPLETED
24101602,harborlightdecorativeartsarc,malwex_hold3,100470,45581.70557,198000,35242525,REJECTED
24101603,parkhurstpublicartconservanc,EleanorRook,100208,45581.73069,245000,72880343,COMPLETED
24101604,camila.park,emilia.cho,100565,45581.85138,470500,87658927,COMPLETED
24101701,stonefieldmaterialcultureins,celine.irwin,100091,45582.5624,359500,23121126,COMPLETED
24101702,oakhollowmuseumofappliedarts,theo_kinc2,100278,45582.80625,287000,96187039,COMPLETED
24101801,rosemontmuseumofmoderncraftd,isaac.shah,100628,45583.42709,749500,77404927,COMPLETED
24101802,rosemontdesignheritagecenter,tanglewoodculturalmemoryproj,100696,45583.4964,920500,36058655,COMPLETED
24101803,harper.ellis,parkhurstceramicsmuseum,100274,45583.64957,232500,87292197,COMPLETED
24101901,elea_rook7,crosscapital2,100201,45584.37728,344000,23121126,COMPLETED
24101902,windermeredesignheritage_org,obexley_family3,100221,45584.45841,614000,36058655,COMPLETED
24101903,southbankmaritimeheritagemus,elliscollections,100204,45584.61808,133500,90907400,COMPLETED
24101904,ashlandmuseumofprintedarts,wexlercollection,100617,45584.66509,752000,35242525,COMPLETED
24102001,crosscapital2,howellartadvisory,100286,45585.43699,515500,87658927,COMPLETED
24102002,akira.bennett,georgia_elli,100517,45585.5785,979500,45562918,COMPLETED
24102003,priya.nelson,northbridgemuseumofmoderncra,100466,45585.60961,1306000,96187039,COMPLETED
24102004,southbanktextilearchive,redcedarfolkartfoundation,100155,45585.6475,1170000,75941901,REJECTED
24102101,elmsteadculturalmemoryprojec,davisauctionpartners,100644,45586.4047,780000,96187039,REJECTED
24102102,aaron.olsen,rothartadvisory,100750,45586.42436,149000,87658927,COMPLETED
24102103,copperlinemuseumofphotograph,vanecapital2,100045,45586.58725,135000,96187039,COMPLETED
24102104,ravenwoodcraftpreservationso,avane_alt,100676,45586.62138,335000,23121126,COMPLETED
24102105,southbanktextilearchive,adamscollections,100227,45586.6597,757000,77404927,COMPLETED
24102106,southbankmaritimeheritagemus,celi_ster3,100488,45586.72052,738500,35242525,COMPLETED
24102201,windermerepublicartconservan,ronanA,100678,45587.34507,238000,72880343,COMPLETED
24102202,mwexler_alt,tariqinvests,100762,45587.37377,996000,72880343,COMPLETED
24102203,vivienne.cross,PriyaSethi,100262,45587.43091,249000,16498618,COMPLETED
24102204,highlandartistslegacytrust,celrot_hold2,100240,45587.44866,211000,36058655,COMPLETED
24102205,khalil.kapoor,vivcross7,100759,45587.50236,666500,72880343,COMPLETED
24102206,ronanA,tariqinvests,100245,45587.61409,627500,87292197,COMPLETED
24102207,isaac.rivera,crosscapital2,100062,45587.65686,78600,35242525,COMPLETED
24102301,DominicHale,ashlandmuseumofprintedarts,100236,45588.4165,477500,36058655,COMPLETED
24102302,davisauctionpartners,abigail.martinez,100374,45588.56484,599500,96187039,COMPLETED
24102303,elliscollections,windermeredesignheritage_org,100112,45588.81294,781000,72880343,COMPLETED
24102401,helval_hold6,ramirezauctionpartners,100405,45589.43573,145000,87658927,COMPLETED
24102402,ashcroftcollection,heritagerowmaterialculturein,100305,45589.49299,103000,16660212,COMPLETED
24102403,silvermarshdecorativeartsarc,southbankmaritimeheritagemus,100244,45589.5522,211500,,PENDING
24102404,fairmontmaritimeheritagemuse,ruby.reed,100229,45589.58414,68800,35242525,COMPLETED
24102501,elmsteadhistoricalsociety,georgia_elli,100408,45590.65056,156500,35242525,COMPLETED
24102502,windermeredesignheritage_org,orchardhousecommunityartsfou,100049,45590.74248,698000,75941901,COMPLETED
24102503,julia.roberts,howellartadvisory,100109,45590.86748,288500,87658927,REJECTED
24102601,emilia.sullivan_curator,windermerepublicartconservan,100679,45591.43733,73600,,CANCELLED
24102602,wexlercapital2,cassidy.ito,100577,45591.58291,352500,35242525,COMPLETED
24102901,renee.kim,ari.turner,100363,45594.68396,385500,,FAILED
24103001,willowmererailwayhistorycent,helvale7,100478,45595.59895,602000,23121126,REJECTED
24103002,yorkfieldfurnituredesignarch,vanefamilyoffice,100490,45595.74481,532500,87292197,FAILED
24110301,theo.kim,croth_alt,100594,45599.45222,742500,,CANCELLED
24110302,aaron.olsen,celine.irwin,100275,45599.52559,1335000,16660212,COMPLETED
24110303,theo_kinc2,davisauctionpartners,100278,45599.54941,279500,23121126,COMPLETED
24110304,aaron.olsen,GrantMercer,100232,45599.55611,422500,16498618,COMPLETED
24110401,tariqinvests,valecapital2,100762,45600.37751,1085000,16498618,COMPLETED
24110402,aiden.patel,windermeredesignheritage_org,100345,45600.41116,332000,23121126,COMPLETED
24110403,rosemontmuseumofmoderncraftd,wexlercollection,100269,45600.47118,254000,72880343,COMPLETED
24110404,rosemontmuseumofmoderncraftd,vivienne.cross,100620,45600.47806,2970000,23121126,COMPLETED
24110405,yara.diaz,eastgateindustrialartsmuseum,100216,45600.69255,699000,,FAILED
24110406,vanefamilyoffice,northbridgemuseumofmoderncra,100407,45600.69425,1536000,16660212,COMPLETED
24110407,harper.ellis,howellartadvisory,100170,45600.78144,358500,35242525,COMPLETED
24110501,cassidy.ito,andersonartadvisory,100321,45601.34103,148500,16498618,FAILED
24110502,rosemontdesignheritagecenter,meridianmillercollections,100241,45601.39581,659500,96187039,COMPLETED
24110503,isaac.rivera,wexlercapital2,100259,45601.436,691000,77404927,COMPLETED
24110504,greatlakesindustrialartsmuse,castillocollections,100435,45601.45215,923000,90907400,COMPLETED
24110505,quarrylanecraftpreservations,redcedarfolkartfoundation,100017,45601.45791,73800,45562918,COMPLETED
24110506,elmsteadhistoricalsociety,vanefamilyoffice,100419,45601.50009,282500,87658927,COMPLETED
24110507,windermeremuseumofmoderncraf,vanecapital2,100365,45601.50627,1297000,77404927,COMPLETED
24110508,granitehillmuseumoflocalindu,windermerepublicartconservan,100163,45601.62319,611500,87658927,COMPLETED
24110509,augvan_hold1,kai.romero,100497,45601.63199,519500,16660212,COMPLETED
24110510,theo.foster,elmsteadhistoricalsociety,100413,45601.6873,485000,87292197,COMPLETED
24110511,yara.flores,brookfieldhistorichousefound,100123,45601.74015,119000,90907400,COMPLETED
24110512,reina.sullivan,priya.lane,100176,45601.79486,239000,23121126,COMPLETED
24110601,windermeremuseumofmoderncraf,valecapital2,100276,45602.53766,963500,16498618,COMPLETED
24110602,fairmontmaritimeheritagemuse,whiteclifffolkartarchive,100306,45602.57674,497000,72880343,COMPLETED
24110603,ftran_westhave,mwexler_alt,100341,45602.65259,623500,16660212,COMPLETED
24110604,aldergrovefurnituredesignarc,choiartadvisory,100487,45602.65499,805000,35242525,REVERSED
24110605,hearthstonefolkartarchive,MWexler,100199,45602.66609,254500,36058655,COMPLETED
24110606,isaac.rivera,lucia.knight,100504,45602.69049,408000,96187039,COMPLETED
24110701,northbridgemuseumofmoderncra,jade.campbell,100366,45603.38435,300500,96187039,COMPLETED
24110702,ironwoodcraftpreservatio_org,cassidy.ito,100135,45603.43844,293000,,PENDING
24110703,stonefieldmaterialcultureins,orchardhousecommunityartsfou,100256,45603.48068,113000,36058655,COMPLETED
24110704,priya.nelson,granitehillmuseumoflocalindu,100537,45603.4891,998500,75941901,REVERSED
24110705,highlandartistslegacytrust,renee.kim,100438,45603.61775,640500,45562918,COMPLETED
24110706,davisauctionpartners,elliscollections,100450,45603.61889,428500,72880343,COMPLETED
24110707,fairmontmaritimeheritagemuse,ronashcroft7,100166,45603.63218,416000,87658927,COMPLETED
24110708,kai.romero,adamscollections,100548,45603.7106,352500,72880343,COMPLETED
24110709,cassidy.ito,reyesfineobjects,100410,45603.73701,723500,96187039,COMPLETED
24110801,howellartadvisory,foundrybennettfineobjects,100286,45604.3824,534000,16498618,COMPLETED
24110802,avane_alt,ashlanddecorativeartsarchive,100753,45604.42272,1017000,87292197,COMPLETED
24110803,southbanktextilearchive,ashlandmuseumofprintedarts,100430,45604.44139,600000,16498618,COMPLETED
24110804,kai.romero,wexlercapital2,100021,45604.45863,194000,35242525,COMPLETED
24110805,yorkfieldfurnituredesignarch,yara.flores,100187,45604.49593,565000,96187039,COMPLETED
24110806,northbridgemuseumofmoderncra,nwhitmore_family2,100317,45604.56302,1216000,96187039,COMPLETED
24110807,orchardhousecommunityartsfou,DominicHale,100322,45604.56428,146500,35242525,FAILED
24110808,highlandartistslegacytrust,elmsteadculturalmemoryprojec,100026,45604.63983,300500,77404927,COMPLETED
24110809,windermerepublicartconservan,santiago.jordan,100291,45604.7141,456000,45562918,COMPLETED
24110810,parkhurstceramicsmuseum,valeheritagefund,100274,45604.72968,238500,35242525,COMPLETED
24110811,yasmin.roberts,choiartadvisory,100107,45604.7445,694000,16660212,COMPLETED
24110812,cassidy.ito,castillocollections,100645,45604.86352,171000,96187039,COMPLETED
24110901,AuggieVane,crossventuresart,100720,45605.4192,1005000,77404927,COMPLETED
24110902,ashcroftcapital2,bobby,100521,45605.42591,1299000,16660212,COMPLETED
24110903,harborlightmuseumofprintedar,celi_ster3,100710,45605.48135,1099000,87292197,COMPLETED
24110904,reese.wilson,southbanktextilearchive,100681,45605.57428,774500,35242525,REVERSED
24110905,TheoKincaid,liucollections,100777,45605.71749,422000,45562918,COMPLETED
24110906,reina.sullivan,vivcross7,100519,45605.74257,4018000,23121126,COMPLETED
24111001,reina.sullivan,foundrybennettfineobjects,100105,45606.362,475000,75941901,COMPLETED
24111002,heritagerowceramicsmuseum,howardfineobjects,100121,45606.40057,376000,16660212,COMPLETED
24111003,cassidy.ito,liucollections,100321,45606.42829,142500,,CANCELLED
24111004,sabrina.edwards,ashlandmuseumofprintedarts,100424,45606.43012,621000,,PENDING
24111005,ruby.reed,rothcapital2,100229,45606.60524,72600,77404927,COMPLETED
24111006,chloe.shah,valecapital2,100391,45606.61787,497000,35242525,COMPLETED
24111007,GrantMercer,howardfineobjects,100865,45606.62894,706500,23121126,COMPLETED
24111101,anthony.garcia,fairmontdesignheritagecenter,100698,45607.41678,1180000,87658927,COMPLETED
24111102,fairmontdesignheritagecenter,heritagerowmaterialculturein,100212,45607.46039,1456000,16498618,COMPLETED
24111103,ravenwoodcraftpreservationso,andersonartadvisory,100498,45607.50414,1816000,16498618,COMPLETED
24111104,windermeredesignheritage_org,southbankmaritimeheritagemus,100270,45607.67414,662500,,CANCELLED
24111105,liucollections,crosscapital2,100790,45607.69332,603500,23121126,COMPLETED
24111106,granitehillmuseumoflocalindu,malik.johnson,100077,45607.69992,380000,87292197,COMPLETED
24111107,cole.thomas_director,akira.bennett,100477,45607.71025,574500,,PENDING
24111108,foundryzimmermanfineobjects,davisauctionpartners,100757,45607.7148,371000,87658927,COMPLETED
24111109,zane.flores_director,malik.johnson,100335,45607.7576,554500,87658927,REJECTED
24111110,oakhollowmuseumofappliedarts,cassidy.ito,100285,45607.79714,219500,87658927,COMPLETED
24111111,windermeremuseumofmoderncraf,ronanA,100580,45607.80274,750500,96187039,COMPLETED
24111112,abigail.martinez,imani.reed,100491,45607.83541,280500,87658927,COMPLETED
24111201,valecapital2,harborlightpublicartconserva,100018,45608.39243,188000,75941901,COMPLETED
24111202,crosscapital2,ashcroftcollection,100062,45608.45723,79700,90907400,COMPLETED
24111203,obexley_family3,crossventuresart,100472,45608.58977,1183000,87658927,COMPLETED
24111204,northbridgemuseumofmoderncra,vanefamilyoffice,100246,45608.59583,2897000,96187039,COMPLETED
24111205,camila.park,ashlandmuseumofprintedarts,100025,45608.71964,282500,72880343,COMPLETED
24111301,timberlinerestorationfoundat,wexlercollection,100096,45609.35486,374500,87658927,COMPLETED
24111302,redcedarfolkartfoundation,PriyaSethi,100625,45609.38602,728500,16498618,COMPLETED
24111303,yasmin.roberts,windermeredesignheritage_org,100078,45609.42001,321000,96187039,COMPLETED
24111304,akira.bennett,oakhollowmuseumofappliedarts,100370,45609.59229,158000,16660212,REJECTED
24111305,highlandartistslegacytrust,quinn.campbell,100637,45609.60931,478000,87658927,COMPLETED
24111306,wexlercapital2,osca_bexl6,100554,45609.64473,623000,96187039,COMPLETED
24111307,maplecrossinghistorichousefo,mwexler_alt,100418,45609.69919,638500,72880343,FAILED
24111308,windermeredesignheritage_org,windermerepublicartconservan,100315,45609.72757,735000,77404927,COMPLETED
24111309,kai.romero,greatlakesindustrialartsmuse,100088,45609.74278,173500,,PENDING
24111401,isaac.shah,DominicHale,100628,45610.40817,706000,87658927,COMPLETED
24111402,felix.romero,oakhollowmuseumofappliedarts,100102,45610.45904,164000,23121126,COMPLETED
24111403,priya.lane,santiago.jordan,100023,45610.48166,221000,35242525,COMPLETED
24111404,celine.irwin,elmsteadculturalmemoryprojec,100349,45610.48694,128500,72880343,COMPLETED
24111405,cassidy.ito,elmsteadculturalmemoryprojec,100577,45610.55934,332500,16660212,COMPLETED
24111406,heritagerowceramicsmuseum,vanecapital2,100344,45610.64603,1220000,36058655,COMPLETED
24111407,fairmontmaritimeheritagemuse,southbankmaritimeheritagemus,100417,45610.79412,2848000,90907400,REJECTED
24111501,abigail.martinez,andersonartadvisory,100177,45611.4047,672000,35242525,COMPLETED
24111502,rothcapital2,stoneartadvisory,100229,45611.49313,73800,,CANCELLED
24111503,southbanktextilearchive,greatlakesindustrialartsmuse,100382,45611.53154,957000,96187039,COMPLETED
24111504,theo.foster,OscarBexley,100402,45611.54043,455000,87658927,COMPLETED
24111505,imani.reed,vivcross7,100643,45611.62025,427500,75941901,COMPLETED
24111506,harborlightmuseumofprintedar,meridianmillercollections,100043,45611.6369,479000,87658927,COMPLETED
24111507,ari.morgan,dhale_family5,100098,45611.6812,1278000,16660212,REVERSED
24111508,hearthstonefolkartarchive,harper.flores,100312,45611.69249,558500,72880343,COMPLETED
24111509,harper.flores,vanecapital2,100552,45611.69564,92000,35242525,COMPLETED
24111510,ronanA,ashcroftcollection,100678,45611.71899,274000,16498618,COMPLETED
24111601,chloe.shah,beatrice.kim,100122,45612.67584,405500,35242525,COMPLETED
24111701,elmsteadculturalpreservation,vanefamilyoffice,100054,45613.35237,161500,96187039,COMPLETED
24111702,felix.romero,meridianmillercollections,100560,45613.41313,308500,90907400,COMPLETED
24111703,celine.irwin,HelenaVale,100342,45613.82505,264500,16498618,COMPLETED
24111801,heritagerowmaterialculturein,ronash_hold5,100305,45614.46347,104500,36058655,COMPLETED
24111802,northbridgemuseumofmoderncra,juniperridgepublicartconserv,100466,45614.49683,1335000,87292197,COMPLETED
24111803,HelenaVale,castillocollections,100714,45614.60637,1358000,75941901,COMPLETED
24111804,theo.foster,erook_family4,100825,45614.62001,597500,75941901,COMPLETED
24111805,lucia.knight,rosemontdesignheritagecenter,100380,45614.66942,403000,72880343,COMPLETED
24111806,eva.howell,walkercollections,100383,45614.71176,297000,87292197,COMPLETED
24111807,oakhollowmuseumofappliedarts,akira.bennett,100621,45614.72782,830000,87292197,COMPLETED
24111808,ashcroftcapital2,meridianmillercollections,100507,45614.73185,883000,,FAILED
24111809,parkhurstceramicsmuseum,vivcro_hold4,100745,45614.76561,448500,23121126,COMPLETED
24111901,lana.vasquez,farahholdings1,100766,45615.40392,1055000,87658927,COMPLETED
24111902,henry.franklin,vanecapital2,100805,45615.46083,580500,96187039,COMPLETED
24111903,granitehillbotanicalheritage,davisauctionpartners,100074,45615.46424,402000,16498618,COMPLETED
24111904,georgia_elli,cassidy.ito,100408,45615.53586,154500,36058655,COMPLETED
24111905,malik.johnson,vivcross7,100333,45615.53738,91900,90907400,COMPLETED
24111906,ftran_westhave,southbanktextilearchive,100280,45615.54838,474000,72880343,CANCELLED
24111907,crosscapital2,OscarBexley,100596,45615.60402,1831000,72880343,COMPLETED
24111908,caesar,celrot_hold2,100359,45615.6891,938000,96187039,COMPLETED
24111909,eastgateindustrialartsmuseum,meridianmillercollections,100635,45615.74225,560000,77404927,CANCELLED
24111910,DominicHale,ronash_hold5,100484,45615.74271,636500,35242525,COMPLETED
24111911,yorkfieldfurnituredesignarch,blair.kaur,100145,45615.8222,329000,23121126,COMPLETED
24112001,CelesteRoth,abigail.martinez,100273,45616.40247,552000,72880343,COMPLETED
24112002,howardfineobjects,elliscollections,100865,45616.42245,673000,35242525,COMPLETED
24112003,TheoKincaid,liucollections,100737,45616.44301,5400000,96187039,REJECTED
24112004,harper.hernandez,farahholdings1,100231,45616.4498,579500,,PENDING
24112005,choiartadvisory,vivcro_hold4,100107,45616.46693,695000,87292197,COMPLETED
24112006,EleanorRook,eastgateindustrialartsmuseum,100739,45616.5891,6826000,87658927,COMPLETED
24112007,PriyaSethi,beatrice.kim,100716,45616.64397,992000,96187039,COMPLETED
24112008,vivcross7,walkercollections,100519,45616.7006,4109000,75941901,COMPLETED
24112009,lana.vasquez,crossventuresart,100313,45616.71706,571500,96187039,COMPLETED
24112010,mwexler_alt,valeheritagefund,100341,45616.73093,643500,16660212,COMPLETED
24112011,southbanktextilearchive,georgia_elli,100416,45616.80791,290500,72880343,COMPLETED
24112101,aiden.patel,davisauctionpartners,100014,45617.37225,145500,87292197,COMPLETED
24112102,eastgateindustrialartsmuseum,yasmin.roberts,100348,45617.4017,449500,45562918,COMPLETED
24112103,parkhurstceramicsmuseum,brookfieldhistorichousefound,100099,45617.41181,338500,45562918,COMPLETED
24112104,foxgloveartistslegacytrust,rothartadvisory,100247,45617.4875,5490000,87658927,COMPLETED
24112105,rosemontmuseumofmoderncraftd,vivcro_hold4,100268,45617.51522,910000,87292197,COMPLETED
24112106,keira.nguyen,highlandartistslegacytrust,100675,45617.52538,222000,,FAILED
24112107,redcedarfolkartfoundation,gmercer_family1,100467,45617.53196,507000,,PENDING
24112108,tanglewoodculturalmemory_org,DominicHale,100480,45617.55123,1655000,75941901,FAILED
24112109,yasmin.roberts,reyesfineobjects,100432,45617.65435,422500,,CANCELLED
24112110,wexlercapital2,northbridgemuseumofmoderncra,100021,45617.68541,196500,36058655,COMPLETED
24112111,hearthstonefolkartarchive,greatlakesindustrialartsmuse,100428,45617.69978,1887000,35242525,COMPLETED
24112112,vanecapital2,ari.turner,100552,45617.72894,86900,75941901,REJECTED
24112113,theo.foster,psethi_family6,100224,45617.81373,264000,35242525,COMPLETED
24112114,santiago.jordan,theo_kinc2,100747,45617.81799,869000,96187039,COMPLETED
24112115,AuggieVane,crosscapital2,100717,45617.8198,337000,23121126,COMPLETED
24112201,mina.singh,cassidy.ito,100669,45618.43255,548500,23121126,COMPLETED
24112202,southbanktextilearchive,aaron.olsen,100155,45618.4347,1248000,35242525,COMPLETED
24112203,vivienne.cross,valecapital2,100803,45618.48728,682500,23121126,COMPLETED
24112204,windermeredesignheritagecent,rothartadvisory,100384,45618.54472,973000,87292197,REJECTED
24112205,liucollections,windermerepublicartconservan,100777,45618.54743,398500,16660212,COMPLETED
24112206,rothartadvisory,rothcapital2,100750,45618.55014,143000,72880343,COMPLETED
24112207,wexlercollection,oakhollowdesignheritagecente,100617,45618.55176,689500,72880343,COMPLETED
24112208,zane.thomas,vanefamilyoffice,100829,45618.57553,1378000,16660212,COMPLETED
24112209,abigail.martinez,aiden.patel,100374,45618.61141,582000,23121126,COMPLETED
24112210,howardfineobjects,GrantMercer,100910,45618.6192,384000,45562918,COMPLETED
24112211,avane_alt,harper.flores,100724,45618.6322,1432000,72880343,COMPLETED
24112212,cassidy.ito,malik.johnson,100321,45618.74594,120000,87658927,COMPLETED
24112301,GrantMercer,gran_merc4,100232,45619.71843,420500,77404927,COMPLETED
24112401,priya.lane,aaron.olsen,100176,45620.62388,228500,90907400,COMPLETED
24112501,whiteclifffolkartarchive,castillocollections,100306,45621.47207,520500,77404927,COMPLETED
24112502,blair.kaur,gmercer_family1,100145,45621.5711,368000,,CANCELLED
24112601,southbankmaterialcultureinst,rothcapital2,100640,45622.40623,3476000,75941901,REJECTED
24112602,ashlandmuseumofprintedarts,avane_alt,100430,45622.48436,643000,96187039,COMPLETED
