p_id;name;category;owned_by;est_value;status;phase;event;listed_at;is_relevant
100029;Studio Ceramic Vessel Set;CERAMIC;chloe.singh;69000;INACTIVE;2;11;2023-07-18;FALSE
100030;Samuel Vale Library Chair, 1834;FURNITURE;howellartadvisory;395000;SOLD;2;11;2023-08-05;FALSE
100031;The Long Platform Print;PRINT;cedarpointculturalmemoryproj;41000;INACTIVE;2;11;2023-08-21;FALSE
100032;Factory Window Sculpture;SCULPTURE;davisauctionpartners;167000;SOLD;2;11;2023-08-24;FALSE
100033;Evening at the Quarry Print;PRINT;chloe.singh;58000;INACTIVE;2;11;2023-08-06;FALSE
100034;Industrial Design Radio;DESIGN_OBJECT;georgia.lee;111000;SALE_PENDING;2;11;2023-07-23;FALSE
100035;Mara Cole Library Chair, 1887;FURNITURE;isabel.carter;189000;INACTIVE;2;11;2023-08-05;FALSE
100036;Cloud over the Foundry;PAINTING;vanefamilyoffice;870000;SALE_PENDING;2;11;2023-08-01;FALSE
100037;Coastal Survey Atlas;MAP;chloe.singh;491000;INACTIVE;2;11;2023-08-11;FALSE
100038;Mara Quinn Studio Ceramic Vessel Set, 1862;CERAMIC;southbankmaritimeheritagemus;121000;SOLD;2;11;2023-07-23;FALSE
100039;Railway Engineering Map;MAP;felix.romero;211000;SOLD;2;11;2023-07-21;FALSE
100040;Amina Novak, Signal Field, bronze, 1995;SCULPTURE;sabrina.edwards;529000;INACTIVE;2;11;2023-08-08;FALSE
100041;Austin Photographic Album;PHOTOGRAPH;augvane7;254000;SOLD;2;11;2023-08-16;FALSE
100042;Amina Bell, Red Bridge, bronze, 1924;SCULPTURE;blair.kaur;711000;SOLD;2;11;2023-08-24;FALSE
100043;Orion Press Press, Illustrated First Edition, 1872;RARE_BOOK;helvale7;460000;SOLD;2;11;2023-08-08;FALSE
100044;Mercury Records Archive, 1867–1897;ARCHIVAL_COLLECTION;nadi_whit5;146000;SALE_PENDING;2;11;2023-08-24;FALSE
100045;Studio Ceramic Vessel Set — Group 2;CERAMIC;vanefamilyoffice;158000;SOLD;2;11;2023-07-19;FALSE
100046;Harbour Series I;PAINTING;bellwethermaterialcultureins;235000;AVAILABLE;2;12;2023-08-30;FALSE
100047;Political Campaign Banner;HISTORIC_OBJECT;aaliyah.zimmerman;120000;SALE_PENDING;2;12;2023-08-30;FALSE
100048;After the Storm;PAINTING;windermeredesignheritagecent;484000;INACTIVE;2;12;2023-08-29;FALSE
100049;Darius Hart, After the Storm, 1957;PAINTING;choiartadvisory;563000;SOLD;2;12;2023-08-27;FALSE
100050;Three Cypress Trees Print;PRINT;lana.mendez;1172000;INACTIVE;2;12;2023-08-25;FALSE
100051;Journal of the Savannah Expedition, 1999–2001;MANUSCRIPT;silvermarshdecorativeartsarc;534000;INACTIVE;2;12;2023-08-25;FALSE
100052;Camille Rivera, Evening at the Quarry, 1856;PAINTING;lorenzo.ellis;515000;INACTIVE;2;12;2023-08-26;FALSE
100053;Modular Chair Prototype;DESIGN_OBJECT;keira.nguyen;442000;INACTIVE;2;12;2023-08-28;FALSE
100054;Celia Alvarez, Orchard Interior, lithograph, 1951;PRINT;pineharborrailwayhistorycent;198000;SOLD;2;12;2023-08-28;FALSE
100055;Santiago Roth Library Chair, 1871;FURNITURE;sabrina.shah;336000;SOLD;2;12;2023-08-28;FALSE
100056;Studio Ceramic Vessel Set — Group 3;CERAMIC;foundryzimmermanfineobjects;268000;SOLD;2;12;2023-08-28;FALSE
100057;Exploration Journal;MANUSCRIPT;castillocollections;292000;SOLD;2;12;2023-08-30;FALSE
100058;Signal Field Study;DRAWING;ashcroftcapital2;144000;SOLD;2;12;2023-08-29;FALSE
100059;Granite Bay Film Society Processional Cross, c. 1997;RELIGIOUS_OBJECT;naomi.campbell;149000;INACTIVE;2;12;2023-08-28;FALSE
100060;The Reading Room Print;PRINT;erook_family4;315000;SOLD;2;12;2023-08-26;FALSE
100061;Local Newspaper Photograph Archive — Group 2;ARCHIVAL_COLLECTION;eastgatefolkartarchive;367000;AVAILABLE;2;12;2023-08-27;FALSE
100062;Los Angeles Photographic Album;PHOTOGRAPH;kai.chen;94000;SOLD;2;12;2023-08-29;FALSE
100063;Annotated Travel Diary;MANUSCRIPT;ruby.reed;755000;SOLD;2;12;2023-08-29;FALSE
100064;Orion Press Archive, 1949–1979;ARCHIVAL_COLLECTION;nathan58;987000;SOLD;2;12;2023-08-27;FALSE
100065;Camille Ellis, Study for Blue Room with Fig Tree, 1969;DRAWING;aldergrovefurnituredesignarc;248000;INACTIVE;2;12;2023-08-27;FALSE
100066;Standing Form Study;DRAWING;foundryxucollections;69000;SOLD;2;12;2023-08-28;FALSE
100067;Gabriel Navarro Studio Ceramic Vessel Set, 1860;CERAMIC;andersonartadvisory;375000;SOLD;2;12;2023-08-26;FALSE
100068;Riverside Theatre Ceremonial Presentation Object, 1969;HISTORIC_OBJECT;ftran_westhave;768000;SOLD;2;12;2023-08-27;FALSE
100069;Exhibition Lighting Prototype;DESIGN_OBJECT;maplecrossinghistorichousefo;148000;INACTIVE;2;12;2023-08-26;FALSE
100070;Historic Concert Cello;MUSICAL_INSTRUMENT;farah.stone;367000;INACTIVE;2;12;2023-08-30;FALSE
100071;Embroidered Civic Standard;TEXTILE;ashlandestatecollection;104000;INACTIVE;2;12;2023-08-30;FALSE
100072;North Coast Railway Press, Illustrated First Edition, 1915;RARE_BOOK;ironwoodcraftpreservationsoc;864000;INACTIVE;2;12;2023-08-30;FALSE
100073;Signal Field Sculpture;SCULPTURE;farahholdings1;1194000;SOLD;2;12;2023-08-29;FALSE
100074;Orion Press Processional Banner, 1873;TEXTILE;vanefamilyoffice;408000;SOLD;2;12;2023-08-27;FALSE
100075;Studio Ceramic Vessel Set — Group 4;CERAMIC;ironwoodcraftpreservatio_org;148000;INACTIVE;2;12;2023-08-31;FALSE
100076;The Reading Room;PAINTING;abigail.lee_curator;535000;INACTIVE;2;12;2023-08-27;FALSE
100077;Hand-Coloured Regional Map;MAP;PriyaSethi;377000;SOLD;2;12;2023-08-26;FALSE
100078;Riverside Theatre Processional Banner, 1965;TEXTILE;windermeredesignheritage_org;313000;SOLD;2;12;2023-08-26;FALSE
100079;Modernist Writing Desk;FURNITURE;rosemonthistoricalsociety;402000;INACTIVE;2;12;2023-08-26;FALSE
100080;Sofia Serrat, River Bend, 1888;PAINTING;isabel.carter;457000;INACTIVE;2;12;2023-08-25;FALSE
100081;Theatre Lobby Bench — Group 2;FURNITURE;crosscapital2;257000;SOLD;2;12;2023-08-28;FALSE
100082;Amara Navarro, Red Bridge, 1970;PAINTING;heritagerowdecorativeartsarc;398000;AVAILABLE;2;12;2023-08-27;FALSE
100083;Jonas Ferrand Studio Ceramic Vessel Set, 1991;CERAMIC;abigail.lee_curator;265000;INACTIVE;2;12;2023-08-28;FALSE
100084;Closed Theatre Records — Group 2;ARCHIVAL_COLLECTION;ravenwoodcraftpreservationso;434000;SOLD;2;12;2023-08-25;FALSE
100085;Composer’s Working Notebook;MANUSCRIPT;cole.thomas_director;182000;INACTIVE;2;12;2023-08-26;FALSE
100086;Exploration Journal — Group 2;MANUSCRIPT;fairmontdesignheritagecenter;647000;SOLD;2;12;2023-08-30;FALSE
100087;Imani Desai Studio Ceramic Vessel Set, 1978;CERAMIC;caesar;287000;SOLD;2;12;2023-08-27;FALSE
100088;Standing Form;PAINTING;sabrina.shah;183000;SOLD;2;12;2023-08-27;FALSE
100089;Coastal Survey Atlas — Group 2;MAP;cedarpointculturalmemoryproj;958000;INACTIVE;2;12;2023-08-27;FALSE
100090;Signed First Edition;RARE_BOOK;ashlanddecorativeartsarchive;337000;SOLD;2;12;2023-08-27;FALSE
100091;Market Morning;PAINTING;quinn.campbell;366000;SOLD;2;12;2023-08-30;FALSE
100092;Local Newspaper Photograph Archive — Group 3;ARCHIVAL_COLLECTION;wexlercollection;231000;SOLD;2;12;2023-08-29;FALSE
100093;Riverside Theatre Processional Banner, 1997;TEXTILE;elmsteadculturalpreservation;293000;SOLD;2;12;2023-08-29;FALSE
100094;Meridian Studio Archive, 1946–1976;ARCHIVAL_COLLECTION;lucia.knight;458000;SOLD;2;12;2023-08-30;FALSE
100095;Night Tram Print;PRINT;farah.stone;297000;INACTIVE;2;12;2023-08-28;FALSE
100096;Lucien Bennett Library Chair, 1943;FURNITURE;cassidy.mason;338000;SOLD;2;12;2023-08-29;FALSE
100097;Local Newspaper Photograph Archive — Group 4;ARCHIVAL_COLLECTION;ramirezauctionpartners;174000;SOLD;2;12;2023-08-29;FALSE
100098;Harcourt Estate Archive, 1896–1926;ARCHIVAL_COLLECTION;ari.morgan;1183000;AVAILABLE;2;12;2023-08-25;FALSE
100099;North Coast Railway Processional Cross, c. 1897;RELIGIOUS_OBJECT;brookfieldhistorichousefound;304000;SOLD;2;12;2023-08-27;FALSE
100100;Detroit Photographic Album;PHOTOGRAPH;henry.ellis;261000;SOLD;2;12;2023-08-31;FALSE
100101;Milo Rivera, River Bend, bronze, 1901;SCULPTURE;isabel.carter;439000;INACTIVE;2;13;2023-09-06;FALSE
100102;Westhaven Works Control Panel, 2000;INDUSTRIAL_OBJECT;meridianmillercollections;171000;SOLD;2;13;2023-09-03;FALSE
100103;Sofia Desai Couture Evening Coat, 1977;FASHION;willowmererailwayhistorycent;145000;INACTIVE;2;13;2023-09-04;FALSE
100104;Handwoven Wall Textile — Group 2;TEXTILE;chloe.singh;1319000;INACTIVE;2;13;2023-09-05;FALSE
100105;Coastal Light;PAINTING;elliscollections;457000;SOLD;2;13;2023-09-02;FALSE
100106;Early Electron Microscope Control Unit;SCIENTIFIC_INSTRUMENT;castillocollections;589000;SOLD;2;13;2023-09-07;FALSE
100107;Orion Press Ceremonial Presentation Object, 1889;HISTORIC_OBJECT;vivcro_hold4;759000;SOLD;2;13;2023-09-02;FALSE
100108;Studio Ceramic Collection;COLLECTION;valeheritagefund;555000;SOLD;2;13;2023-09-05;FALSE
100109;Historic Household Interior Group;COLLECTION;ashcroftcollection;294000;AVAILABLE;2;13;2023-09-06;FALSE
100110;Cypress Observatory Control Panel, 1964;INDUSTRIAL_OBJECT;georgia.park;255000;INACTIVE;2;13;2023-09-04;FALSE
100111;Theatre Mask Collection;THEATRE_OBJECT;zane.thomas;596000;SOLD;2;13;2023-09-01;FALSE
100112;Alexander McQueen Runway Jacket, Autumn/Winter 1998;FASHION;ashcroftcollection;733000;SOLD;2;13;2023-09-06;FALSE
100113;The North Courtyard;PAINTING;andersonartadvisory;1223000;SOLD;2;13;2023-09-07;FALSE
100114;J.R.R. Tolkien, The Hobbit, first edition, 1937;RARE_BOOK;obexley_family3;1254000;SOLD;2;13;2023-09-04;FALSE
100115;Samuel Ellis, Orchard Interior, bronze, 1843;SCULPTURE;avane_alt;452000;SOLD;2;13;2023-09-04;FALSE
100116;Orion Press Ceremonial Presentation Object, 1906;HISTORIC_OBJECT;northbridgemuseumofmoderncra;427000;SOLD;2;13;2023-09-07;FALSE
100117;Seventeenth-Century Portolan Chart;MAP;malwex_hold3;545000;SOLD;2;13;2023-09-07;FALSE
100118;Embroidered Festival Vestments, c. 1880;RELIGIOUS_OBJECT;tanglewoodmuseumofmoderncraf;108000;INACTIVE;2;13;2023-09-01;FALSE
100119;Concert Poster Archive;MUSIC_MEMORABILIA;nadi_whit5;731000;SOLD;2;13;2023-09-02;FALSE
100120;Nadia Bennett Concert Violin, 1700;MUSICAL_INSTRUMENT;ashcroftcollection;948000;AVAILABLE;2;13;2023-09-06;FALSE
100121;Camille Saito Exhibition Lamp Prototype, 1901;DESIGN_OBJECT;malik.johnson;399000;SOLD;2;13;2023-09-23;FALSE
100122;Early Scientific Treatise;RARE_BOOK;vanefamilyoffice;432000;SOLD;2;13;2023-09-09;FALSE
100123;Orchard Interior Study;DRAWING;brookfieldhistorichousefound;123000;SOLD;2;13;2023-09-24;FALSE
100124;Henry Moore, Maquette for Reclining Figure, 1952;SCULPTURE;amir.saito_director;960000;AVAILABLE;2;13;2023-09-29;FALSE
100125;Baltimore Championship Match-Worn Jersey, 1960;SPORTS_MEMORABILIA;sofia.rivera;380000;INACTIVE;2;13;2023-09-30;FALSE
100126;Milo Serrat, Blue Room with Fig Tree, 1894;PAINTING;ironwoodcraftpreservatio_org;1485000;SALE_PENDING;2;13;2023-09-11;FALSE
100127;Handwoven Wall Textile — Group 3;TEXTILE;erook_family4;124000;SOLD;2;13;2023-09-27;FALSE
100128;Prince Purple Rain Tour Guitar;MUSICAL_INSTRUMENT;ashcroftcollection;714000;SOLD;2;13;2023-09-28;FALSE
100129;Meridian Studio Silver Presentation Service, 1793;METALWORK;windermeredesignheritagecent;405000;INACTIVE;2;13;2023-09-16;FALSE
100130;Closed Factory Neon Sign;INDUSTRIAL_OBJECT;aldergrovefurnituredesignarc;607000;INACTIVE;2;13;2023-09-30;FALSE
100131;Bay City Foundry Computing Prototype, 1992;TECHNOLOGY;adriana.adams;657000;SOLD;2;13;2023-09-10;FALSE
100132;Harcourt Estate Material Culture Collection, 1864–1889;COLLECTION;elias.estrada;239000;INACTIVE;2;13;2023-09-24;FALSE
100133;Apple-1 Computer;TECHNOLOGY;imani.thomas;382000;SOLD;2;13;2023-09-19;FALSE
100134;Local Club Memorabilia Collection;COLLECTION;imani.reed;353000;SOLD;2;13;2023-09-24;FALSE
100135;Joan Miró, Peinture, 1953;PAINTING;ironwoodcraftpreservatio_org;310000;SALE_PENDING;2;13;2023-09-17;FALSE
100136;Yayoi Kusama, Pumpkin, 1994;PAINTING;windermeredesignheritagecent;778000;INACTIVE;2;13;2023-09-22;FALSE
100137;Annotated Poetry Volume;RARE_BOOK;windermeredesignheritagecent;470000;INACTIVE;2;13;2023-09-08;FALSE
100138;Noelle Maren Art Glass Panel, 1847;GLASS;abigail.lee_curator;196000;INACTIVE;2;13;2023-09-13;FALSE
100139;Sofia Ortega, After the Storm, bronze, 1935;SCULPTURE;theo.foster;1811000;INACTIVE;2;13;2023-09-20;FALSE
100140;Studio Ceramic Vessel Set — Group 5;CERAMIC;cassidy.ito;199000;AVAILABLE;2;13;2023-09-17;FALSE
100141;Harcourt Estate Painted Stage Backdrop, 1980;THEATRE_OBJECT;foxgloveculturalpreservation;433000;INACTIVE;2;13;2023-09-15;FALSE
100142;Closed Theatre Records — Group 3;ARCHIVAL_COLLECTION;hearthstonemuseumofappliedar;491000;INACTIVE;2;13;2023-09-29;FALSE
100143;Nirvana Backstage Pass and Set List;MUSIC_MEMORABILIA;aldergrovefurnituredesignarc;414000;INACTIVE;2;13;2023-09-25;FALSE
100144;Westhaven Works Ceremonial Presentation Object, 2002;HISTORIC_OBJECT;aldergrovefurnituredesignarc;455000;INACTIVE;2;13;2023-09-20;FALSE
100145;Harcourt Estate Painted Stage Backdrop, 1989;THEATRE_OBJECT;wexlercapital2;322000;SOLD;2;13;2023-09-14;FALSE
100146;Henri Matisse, Icare from Jazz, 1947;PRINT;delilah.kim;234000;SOLD;2;13;2023-09-18;FALSE
100147;Community Ritual Mask;ETHNOGRAPHIC_OBJECT;theo_kinc2;764000;SOLD;2;13;2023-09-15;FALSE
100148;Linden Library Archive, 2012–2042;ARCHIVAL_COLLECTION;PriyaSethi;403000;SOLD;2;13;2023-09-20;FALSE
100149;Elena Caldwell, House at Low Tide, 1838;PAINTING;sofia.rivera;425000;INACTIVE;2;13;2023-09-13;FALSE
100150;Touring Electric Guitar;MUSICAL_INSTRUMENT;howardfineobjects;477000;AVAILABLE;2;13;2023-09-30;FALSE
100151;Studio with Copper Vessel Study;DRAWING;aiden.patel;217000;SOLD;2;13;2023-09-09;FALSE
100152;Mateo Quinn Exhibition Lamp Prototype, 1973;DESIGN_OBJECT;pineharbormaterialcultureins;957000;INACTIVE;2;13;2023-09-14;FALSE
100153;Rosa Desai, Evening at the Quarry, lithograph, 1767;PRINT;stonefieldpublicartconservan;582000;INACTIVE;2;13;2023-09-12;FALSE
100154;Designer Performance Costume;FASHION;chloe.singh;282000;INACTIVE;2;13;2023-09-19;FALSE
100155;Screen-Used Black Orchard Prop, 2001;FILM_PROP;northbridgemuseumofmoderncra;1196000;SOLD;2;13;2023-09-10;FALSE
100156;Cypress Observatory Stained-Glass Window, 1820;ARCHITECTURAL_ELEMENT;elena.desai;133000;SOLD;2;13;2023-09-13;FALSE
100157;David Bowie Ziggy Stardust Tour Costume;FASHION;keira.nguyen;170000;INACTIVE;2;13;2023-09-22;FALSE
100158;Michael Jordan Game-Worn Sneakers;SPORTS_MEMORABILIA;ironwoodcraftpreservationsoc;402000;AVAILABLE;2;13;2023-09-08;FALSE
100159;Mateo Kapoor, Harbour Series I, bronze, 1986;SCULPTURE;vanefamilyoffice;181000;SOLD;2;13;2023-09-19;FALSE
100160;Helen Frankenthaler, Untitled, 1965;PAINTING;hearthstonemuseumofappliedar;1141000;INACTIVE;2;13;2023-09-28;FALSE
100161;Victorian Era Monocle;HISTORIC_OBJECT;sabrina.shah;398000;SOLD;2;13;2023-09-25;FALSE
100162;Lucien Havel, Signal Field, lithograph, 1988;PRINT;vivian.reyes_finance;649000;INACTIVE;2;13;2023-09-28;FALSE
100163;Study for a Procession;PAINTING;EleanorRook;609000;SOLD;2;13;2023-09-10;FALSE
100164;Handwritten Lyrics for a 1970s Rock Single;MANUSCRIPT;nathan58;266000;SOLD;2;13;2023-09-19;FALSE
100165;Brass Surveying Transit;SCIENTIFIC_INSTRUMENT;harper.hernandez;375000;INACTIVE;2;13;2023-09-12;FALSE
100166;Fantasy Film Sword Prop;FILM_PROP;nathan58;420000;SOLD;2;14;2023-11-08;FALSE
100167;Elias Ellis Tour Outfit and Backstage Passes, 1968;MUSIC_MEMORABILIA;lorenzo.ellis;638000;INACTIVE;2;14;2023-11-14;FALSE
100168;Art Deco Cinema Ticket Booth;ARCHITECTURAL_ELEMENT;ashlandmuseumofprintedarts;1018000;SOLD;2;14;2023-10-26;FALSE
100169;Bon Jovi Slippery When Wet Tour Outfit;MUSIC_MEMORABILIA;stonefieldpublicartconservan;426000;INACTIVE;2;14;2023-10-27;FALSE
100170;Muhammad Ali Training Robe;SPORTS_MEMORABILIA;howellartadvisory;390000;SOLD;2;14;2023-11-09;FALSE
100171;Elias Ingram, Black Orchard, 1802;PAINTING;lana.mendez;1727000;INACTIVE;2;14;2023-11-07;FALSE
100172;Samuel Saito Exhibition Lamp Prototype, 1972;DESIGN_OBJECT;liucollections;535000;SOLD;2;14;2023-10-07;FALSE
100173;Amina Vale, Study for a Procession, lithograph, 1929;PRINT;emilia.cho;1428000;INACTIVE;2;14;2023-10-25;FALSE
100174;Elena Ingram, Denver at Night, 1935;PHOTOGRAPH;georgia.park;146000;INACTIVE;2;14;2023-11-11;FALSE
100175;Factory Window;PAINTING;tanglewoodmuseumofmoderncraf;221000;INACTIVE;2;14;2023-10-12;FALSE
100176;Signed Recording Contract;MUSIC_MEMORABILIA;bobby;250000;AVAILABLE;2;14;2023-10-28;FALSE
100177;Cypress Observatory Control Panel, 1901;INDUSTRIAL_OBJECT;jade.campbell;726000;AVAILABLE;2;14;2023-10-24;FALSE
100178;Estate Collection of Studio Ceramics, 1948–1972;COLLECTION;crossventuresart;1700000;SOLD;2;14;2023-10-22;FALSE
100179;Darius Cole, Three Cypress Trees, 1756;PAINTING;leo.lane;1409000;AVAILABLE;2;14;2023-11-13;FALSE
100180;Meridian Studio Material Culture Collection, 1969–1994;COLLECTION;aldergrovefurnituredesignarc;208000;INACTIVE;2;14;2023-11-07;FALSE
100181;Concorde Cabin Instrument Panel;TRANSPORTATION;zane.flores_director;2311000;INACTIVE;2;14;2023-10-20;FALSE
100182;Macintosh 128K Prototype;TECHNOLOGY;ari.morgan;2003000;INACTIVE;2;14;2023-10-17;FALSE
100183;St. Elian Parish Control Panel, 1891;INDUSTRIAL_OBJECT;santiago.jordan;1305000;SOLD;2;14;2023-10-30;FALSE
100184;Winter Garden Print;PRINT;henry.reed;140000;INACTIVE;2;14;2023-11-05;FALSE
100185;Art Nouveau Sapphire Dragonfly Brooch;JEWELRY;augvane7;1336000;SOLD;2;14;2023-10-18;FALSE
100186;Closed Cinema Ticket Machine;HISTORIC_OBJECT;bellwethermaterialcultureins;423000;INACTIVE;2;14;2023-10-29;FALSE
100187;Signed First Edition — Group 2;RARE_BOOK;fairmontmaritimeheritagemuse;547000;SOLD;2;14;2023-11-16;FALSE
100188;St. Elian Parish Material Culture Collection, 1849–1874;COLLECTION;atlastaylorauctions;1119000;SOLD;2;14;2023-10-24;FALSE
100189;Exhibition Lighting Prototype — Group 2;DESIGN_OBJECT;amir.saito_director;763000;INACTIVE;2;14;2023-10-13;FALSE
100190;Orchard Interior Print;PRINT;southbankmaterialcultureinst;117000;AVAILABLE;2;14;2023-10-15;FALSE
100191;Celia Roth Library Chair, 1917;FURNITURE;avane_alt;1417000;SOLD;2;14;2023-10-30;FALSE
100192;Private Letters of a Modernist Architect, 1919–1947;ARCHIVAL_COLLECTION;yara.diaz;506000;INACTIVE;2;14;2023-10-14;FALSE
100193;Journal of the Boston Expedition, 1901–1903;MANUSCRIPT;georgia.park;377000;INACTIVE;2;14;2023-11-11;FALSE
100194;Early Scientific Treatise — Group 2;RARE_BOOK;theo_kinc2;208000;SOLD;2;14;2023-11-12;FALSE
100195;Closed Theatre Records — Group 4;ARCHIVAL_COLLECTION;ari.turner;1665000;SOLD;2;14;2023-10-11;FALSE
100196;Noelle Kapoor Library Chair, 1795;FURNITURE;nathan58;624000;SOLD;2;14;2023-10-12;FALSE
100197;Redwood Civic Association Archive, 1943–1973;ARCHIVAL_COLLECTION;stonefieldhistorichousefound;761000;INACTIVE;2;14;2023-11-02;FALSE
100198;Signed Tournament Racket;SPORTS_MEMORABILIA;aaliyah.zimmerman;246000;INACTIVE;2;14;2023-10-10;FALSE
100199;The Long Platform Study;DRAWING;jade.campbell;321000;SOLD;2;14;2023-11-03;FALSE
100200;Art Nouveau Pendant;JEWELRY;ashlandmuseumofprintedarts;923000;SOLD;2;14;2023-11-17;FALSE
100201;Roger Federer Match-Used Racket;SPORTS_MEMORABILIA;arcadialamauctions;359000;SOLD;2;14;2023-10-30;FALSE
100202;Darius Mercer, Winter Garden, 1868;PAINTING;longfellowestatecollection;996000;AVAILABLE;2;14;2023-10-24;FALSE
100203;Red Bridge Print;PRINT;ashlandestatecollection;309000;AVAILABLE;2;14;2023-10-24;FALSE
100204;Amara Serrat Exhibition Lamp Prototype, 2007;DESIGN_OBJECT;adamscollections;136000;SALE_PENDING;2;14;2023-11-10;FALSE
100205;Elias Quinn Library Chair, 1991;FURNITURE;georgia.lee;284000;SALE_PENDING;2;14;2023-10-05;FALSE
100206;Marc Chagall, The Circus, lithograph, 1967;PRINT;farah.vasquez;314000;SOLD;2;14;2023-10-28;FALSE
100207;Astronomical Compendium;SCIENTIFIC_INSTRUMENT;kai.kaur;1079000;SOLD;2;14;2023-10-09;FALSE
100208;Historic Shopfront Sign;ARCHITECTURAL_ELEMENT;EleanorRook;266000;SOLD;2;14;2023-10-10;FALSE
100209;Studio Ceramic Vessel Set — Group 6;CERAMIC;parkhurstpublicartconservanc;1091000;SOLD;2;14;2023-10-30;FALSE
100210;Studio Ceramic Collection — Group 2;COLLECTION;ironwoodcraftpreservatio_org;562000;INACTIVE;2;14;2023-10-20;FALSE
100211;Theatre Lobby Bench — Group 3;FURNITURE;harper.flores;751000;SOLD;2;14;2023-10-18;FALSE
100212;Black Orchard Sculpture;SCULPTURE;heritagerowmaterialculturein;1544000;SOLD;2;14;2023-11-12;FALSE
100213;Henri Cartier-Bresson, Behind the Gare Saint-Lazare, 1932;PHOTOGRAPH;howellartadvisory;94000;SOLD;2;14;2023-11-18;FALSE
100214;Painted Scenery from the Riverside Theatre;THEATRE_OBJECT;elias.estrada;494000;INACTIVE;2;14;2023-11-06;FALSE
100215;Textile Mill Time Clock;INDUSTRIAL_OBJECT;GrantMercer;366000;SOLD;2;14;2023-10-12;FALSE
100216;Granite Bay Film Society Processional Banner, 1951;TEXTILE;yara.diaz;708000;AVAILABLE;2;14;2023-11-01;FALSE
100217;Priya Kwon Couture Evening Coat, 1952;FASHION;eastgaterailwayhistorycenter;169000;INACTIVE;2;14;2023-10-28;FALSE
100218;Studio Ceramic Vessel Set — Group 7;CERAMIC;liucollections;480000;SOLD;2;14;2023-11-11;FALSE
