exp_id;amount;d_id;description;date;requested_by;approved_by
500048;210.00;2120;server;2023-04-19;NULL;NULL
500042;480.00;4200;packing materials for Northbridge;2023-04-20;NULL;NULL
500047;160.00;3100;museum outreach travel;2023-04-21;NULL;NULL
500052;2420.00;5100;lawyer call;2023-04-21;NULL;NULL
500044;435.00;4200;insurance quote consultation;2023-04-24;NULL;NULL
500064;180.00;4110;photographer for museum objects;2023-04-24;NULL;NULL
500060;1160.00;4200;Northbridge transport and handling;2023-04-26;NULL;NULL
500053;500.00;4110;photographer for museum objects;2023-04-28;NULL;NULL
500045;1260.00;5100;lawyer call;2023-04-29;NULL;NULL
500065;1285.00;4200;Northbridge insurance consultation;2023-04-29;NULL;NULL
500046;1081.11;3100;museum outreach travel;2023-05-01;NULL;NULL
500043;1025.00;2120;server;2023-05-02;NULL;NULL
500049;130.00;3100;museum outreach travel;2023-05-02;NULL;NULL
500056;315.00;4200;Northbridge visit - mileage + parking;2023-05-02;NULL;NULL
500057;1367.82;4200;Northbridge insurance consultation;2023-05-02;NULL;NULL
500051;320.00;4110;photographer for museum objects;2023-05-05;NULL;NULL
500054;650.00;2120;server;2023-05-05;NULL;NULL
500084;609.13;7200;launch social ads;2023-05-07;NULL;NULL
500088;2960.00;5100;lawyer call;2023-05-08;NULL;NULL
500081;310.00;2120;server;2023-05-10;NULL;NULL
500083;700.00;6110;bookkeeping;2023-05-10;NULL;NULL
500086;260.00;3100;museum outreach travel;2023-05-10;NULL;NULL
500091;2905.00;5100;lawyer call;2023-05-11;NULL;NULL
500074;2045.00;5100;lawyer call;2023-05-12;NULL;NULL
500069;1695.00;6120;reconciliation;2023-05-14;NULL;NULL
500077;300.00;3100;museum outreach travel;2023-05-15;NULL;NULL
500079;655.00;7200;Launch campaign - paid social;2023-05-15;NULL;NULL
500068;390.00;6120;reconciliation;2023-05-16;NULL;NULL
500096;335.00;7200;promo design;2023-05-17;NULL;NULL
500075;825.00;3100;museum outreach travel;2023-05-19;NULL;NULL
500090;300.00;7100;customer support;2023-05-19;NULL;NULL
500085;1355.00;5100;lawyer call;2023-05-22;NULL;NULL
500087;850.00;3100;museum outreach travel;2023-05-23;NULL;NULL
500093;190.00;7200;launch social ads;2023-05-23;NULL;NULL
500094;175.00;7200;launch social ads;2023-05-24;NULL;NULL
500072;765.00;6120;reconciliation;2023-05-25;NULL;NULL
500095;2135.00;4200;boxes for Northbridge;2023-05-25;NULL;NULL
500070;180.00;2120;server;2023-05-26;NULL;NULL
500082;1345.00;7200;launch social ads;2023-05-29;NULL;NULL
500078;225.00;2120;server;2023-05-30;NULL;NULL
500080;2335.00;5100;lawyer call;2023-05-30;NULL;NULL
500073;70.00;7200;launch social ads;2023-05-31;NULL;NULL
500076;4610.00;7200;promo design;2023-05-31;NULL;NULL
500071;720.00;3100;museum outreach travel;2023-06-01;NULL;NULL
500089;360.00;2120;server;2023-06-01;NULL;NULL
500092;450.00;3100;museum outreach travel;2023-06-01;NULL;NULL
500097;760.00;6120;reconciliation;2023-06-01;NULL;NULL
500101;290.00;6110;bookkeeping;2023-06-02;NULL;NULL
500104;2170.00;5100;lawyer call;2023-06-05;NULL;NULL
500110;420.00;4200;insurance quote consultation;2023-06-06;NULL;NULL
500107;410.00;1100;Corporate filing fees;2023-06-07;NULL;NULL
500106;2185.00;4200;insurance quote consultation;2023-06-12;NULL;NULL
500108;662.80;1100;registered agent setup;2023-06-12;NULL;NULL
500109;500.00;6110;bookkeeping;2023-06-12;NULL;NULL
500102;90.60;1100;Corporate filing fees;2023-06-13;NULL;NULL
500103;2850.00;1100;Corporate filing fees;2023-06-14;NULL;NULL
500099;165.00;2120;dev tools;2023-06-16;NULL;NULL
500100;480.00;6110;bookkeeping;2023-06-16;NULL;NULL
500098;120.00;2120;dev tools;2023-06-19;NULL;NULL
500105;884.51;4200;insurance quote consultation;2023-06-19;NULL;NULL
500139;1162.47;6200;employee setup;2023-06-20;NULL;NULL
500124;1970.00;2120;laptop / gear;2023-06-21;NULL;NULL
500118;823.03;7200;launch social ads;2023-06-22;NULL;NULL
500130;5117.14;7200;launch social ads;2023-06-22;NULL;NULL
500153;370.00;2120;server;2023-06-22;NULL;NULL
500145;2160.00;2120;laptop / gear;2023-06-23;23062301;23062302
500128;540.00;3100;museum outreach travel;2023-06-26;23062301;23062302
500113;6490.00;5100;lawyer call;2023-06-27;23062301;23062302
500117;2764.32;2120;laptop / gear;2023-06-27;23062302;NULL
500122;640.00;6200;employee setup;2023-06-27;23062302;23062301
500119;3258.33;7200;launch social ads;2023-06-28;23062301;23062302
500121;761.95;2120;laptop / gear;2023-06-28;23062301;23062302
500143;580.00;2120;dev tools;2023-06-28;23062302;23062301
500148;371.36;2120;dev tools;2023-06-28;23062302;23062301
500141;840.00;3100;museum outreach travel;2023-06-29;23062301;NULL
500151;1950.28;6200;employee setup;2023-06-29;23062301;23062302
500116;991.91;6200;recruiter;2023-06-30;23062301;23062302
500127;1282.76;6110;bookkeeping;2023-06-30;23062301;23062302
500126;1390.00;3100;museum outreach travel;2023-07-03;23062301;23062302
500155;2130.00;5100;lawyer call;2023-07-03;NULL;23062301
500134;830.00;6200;employee setup;2023-07-04;23070303;23062301
500136;100.00;2120;dev tools;2023-07-04;23062302;23070303
500140;1690.00;2120;laptop / gear;2023-07-04;23062302;23062301
500147;927.98;3100;museum outreach travel;2023-07-04;23062301;23070303
500114;1260.00;2120;server;2023-07-05;23062302;23070303
500135;1540.00;2120;server;2023-07-05;23062302;23062301
500131;300.00;2120;dev tools;2023-07-06;23062302;23070303
500146;820.00;3100;museum outreach travel;2023-07-06;23062301;23070303
500111;1040.00;2120;server;2023-07-07;23062301;23062302
500115;1320.00;2120;laptop / gear;2023-07-07;NULL;NULL
500142;6240.00;7200;launch social ads;2023-07-07;23070303;23062301
500150;3000.00;6200;recruiter;2023-07-07;23070303;23062302
500154;2320.00;5100;lawyer call;2023-07-07;23070303;23062302
500133;4020.00;7200;launch social ads;2023-07-08;23070303;23062301
500137;1340.00;3100;museum outreach travel;2023-07-08;23062301;NULL
500112;2020.00;2120;server;2023-07-11;23062302;23070303
500138;2320.00;2120;laptop / gear;2023-07-11;23062301;23070303
500120;630.00;6200;employee setup;2023-07-12;23070303;23062301
500149;1820.00;7200;launch social ads;2023-07-12;23070303;23062302
500125;2250.00;6110;bookkeeping;2023-07-13;23062301;23062302
500144;450.76;3100;museum outreach travel;2023-07-13;23062301;23070303
500129;740.00;6110;bookkeeping;2023-07-15;23062301;23070303
500132;1116.30;6200;recruiter;2023-07-15;23070303;23062302
500123;70.00;2120;dev tools;2023-07-17;NULL;NULL
500152;600.00;2120;server;2023-07-17;23062302;NULL
500169;1564.25;6200;recruiter;2023-07-19;23070303;23062301
500178;110.00;2120;dev tools;2023-07-19;23062302;NULL
500197;3275.57;5100;lawyer call;2023-07-19;23070303;23062302
500164;1140.00;4200;insurance quote consultation;2023-07-21;23062301;23062302
500168;1990.00;3100;museum outreach travel;2023-07-21;23062301;23070303
500182;2900.00;6200;recruiter;2023-07-21;23070303;NULL
500187;760.00;4200;boxes for Northbridge;2023-07-21;23062301;23070303
500196;5892.97;4200;insurance quote consultation;2023-07-22;23062301;23070303
500166;3020.00;4200;boxes for Northbridge;2023-07-24;23062301;23062302
500198;4413.43;7200;launch social ads;2023-07-24;23070303;23062302
500161;660.00;3100;museum outreach travel;2023-07-25;23062301;23070303
500209;654.29;2120;server;2023-07-25;23062301;23070303
500162;1180.00;3100;museum outreach travel;2023-07-26;23062301;23070303
500208;1408.59;5100;lawyer call;2023-07-26;23062301;23070303
500210;840.00;3100;museum outreach travel;2023-07-26;23062301;23062302
500157;1830.00;6200;recruiter;2023-07-27;23070303;23062301
500195;110.00;2120;server;2023-07-27;23062301;23070303
500202;4960.00;4200;insurance quote consultation;2023-07-28;23062301;NULL
500171;80.00;2120;dev tools;2023-07-29;23062302;23070303
500186;2180.00;2120;server;2023-07-31;23062301;NULL
500156;640.54;2120;server;2023-08-01;23062302;23062301
500188;480.00;4120;condition check;2023-08-01;23062301;23062302
500189;880.00;2120;server;2023-08-01;NULL;23062301
500200;3000.00;4200;insurance quote consultation;2023-08-02;23062301;23062302
500193;3250.00;4120;condition check;2023-08-03;23062301;23062302
500176;3582.58;4200;boxes for Northbridge;2023-08-04;23062301;23062302
500206;1100.00;3100;museum outreach travel;2023-08-04;23062301;23062302
500158;10400.00;6200;recruiter;2023-08-05;23070303;23062302
500181;14510.00;4200;insurance quote consultation;2023-08-07;23062301;23070303
500183;16450.00;6200;recruiter;2023-08-07;23070303;23062301
500190;1530.00;4120;condition check;2023-08-07;23062301;23062302
500192;2980.00;4200;boxes for Northbridge;2023-08-07;23062301;23070303
500175;2240.00;7200;launch social ads;2023-08-08;23070303;23062301
500201;510.00;2120;dev tools;2023-08-08;23062301;23070303
500179;4163.30;4200;boxes for Northbridge;2023-08-09;23062301;23070303
500180;2500.00;4120;condition check;2023-08-09;23062301;23070303
500185;240.00;2120;dev tools;2023-08-10;23062302;23070303
500207;760.00;2120;dev tools;2023-08-10;23062302;23062301
500159;190.00;3100;museum outreach travel;2023-08-11;23062301;23062302
500173;1456.28;3100;museum outreach travel;2023-08-11;23062301;23062302
500191;2250.69;4120;condition check;2023-08-11;23062301;23070303
500172;246.06;2120;dev tools;2023-08-13;23062301;23070303
500167;6810.00;4200;boxes for Northbridge;2023-08-15;23062301;23062302
500184;3590.00;4200;insurance quote consultation;2023-08-15;23062301;23062302
500199;600.00;2120;server;2023-08-15;23062301;23062302
500203;410.00;3100;museum outreach travel;2023-08-16;23062301;23070303
500204;1080.00;2120;server;2023-08-16;23062302;23070303
500165;280.00;2120;dev tools;2023-08-17;23062301;23062302
500174;430.00;4200;boxes for Northbridge;2023-08-18;23062301;23070303
500163;1523.02;7200;launch social ads;2023-08-21;23070303;23062301
500194;980.00;2120;server;2023-08-22;23062302;23070303
500205;410.00;2120;dev tools;2023-08-22;23062302;23070303
500160;1490.00;2120;server;2023-08-23;23062302;23062301
500170;6740.00;7200;launch social ads;2023-08-24;23070303;23062302
500177;1260.00;3100;museum outreach travel;2023-08-24;23062301;23062302
500223;1310.00;4120;Valuation and condition assessment;2023-08-25;23062301;23062302
500252;28000.00;5100;Outside counsel - commercial terms;2023-08-25;23062301;23062302
500270;3070.00;2120;AWS Aug 2023;2023-08-25;23062301;23062302
500286;460.00;6200;Employee onboarding - Aug 2023;2023-08-25;23070303;23062301
500254;1938.28;3100;Institutional partner travel - Aug 2023;2023-08-26;23062301;23062302
500232;4482.96;4120;Valuation and condition assessment;2023-08-28;23062301;23070303
500255;2136.56;7200;Event materials and production;2023-08-28;23070303;23062302
500272;560.00;3100;Institutional partner travel - Aug 2023;2023-08-28;23062301;23070303
500243;2130.00;4110;Provenance research services;2023-08-29;NULL;23062301
500247;1343.85;3100;Institutional partner travel - Aug 2023;2023-08-29;23062301;23070303
500250;5200.00;4110;Provenance research services;2023-08-29;23062301;23070303
500277;1420.00;4200;Asset insurance services - Aug 2023;2023-08-29;23062301;23070303
500279;2273.61;4120;Valuation and condition assessment;2023-08-29;23062301;23062302
500212;3090.00;6200;Recruitment services - Aug 2023;2023-08-30;NULL;23062302
500242;960.00;7200;Event materials and production;2023-08-30;23070303;23062301
500215;1634.53;3100;Institutional partner travel - Aug 2023;2023-08-31;23062301;23070303
500220;862.86;7200;Event materials and production;2023-09-01;23070303;23062301
500259;1830.00;6200;Recruitment services - Sep 2023;2023-09-01;23070303;23062302
500241;1360.00;2120;AWS Sep 2023;2023-09-02;23062302;23062301
500288;2120.00;3100;Institutional partner travel - Sep 2023;2023-09-02;23062301;23070303
500280;630.00;6200;Employee onboarding - Sep 2023;2023-09-03;23070303;23062301
500216;350.00;2120;AWS Sep 2023;2023-09-04;23062301;23062302
500222;1210.00;4200;boxes for Northbridge;2023-09-05;60706330;23070303
500235;950.00;4110;Asset photography - Sep 2023;2023-09-05;60706330;23070303
500273;560.00;3100;Institutional partner travel - Sep 2023;2023-09-05;63336966;23062301
500287;14260.00;5100;Outside counsel - commercial terms;2023-09-05;23070303;NULL
500253;1240.00;3100;museum outreach travel;2023-09-06;63336966;23070303
500262;2726.82;4200;Asset transport and handling;2023-09-06;60706330;23070303
500221;11668.09;5100;Outside counsel - corporate matters;2023-09-07;23062301;23070303
500264;520.00;2120;AWS Sep 2023;2023-09-07;23062301;23062302
500265;878.66;3100;Institutional partner travel - Sep 2023;2023-09-07;63336966;23070303
500234;160.09;4110;Asset photography - Sep 2023;2023-09-08;60706330;23062301
500245;2650.00;4110;Provenance research services;2023-09-08;60706330;23062301
500249;1810.00;3100;Institutional partner travel - Sep 2023;2023-09-08;63336966;23062301
500283;2720.00;4110;Provenance research services;2023-09-08;23062301;23070303
500285;820.00;4120;Valuation and condition assessment;2023-09-08;23062301;NULL
500291;1720.00;7200;Event materials and production;2023-09-08;23070303;23062302
500282;2027.28;5100;Outside counsel - asset custody;2023-09-10;23062301;60706330
500238;770.00;4200;boxes for Northbridge;2023-09-11;63336966;23070303
500231;2350.00;6200;Recruitment services - Sep 2023;2023-09-12;23070303;64166280
500267;480.00;3100;Institutional partner travel - Sep 2023;2023-09-12;63336966;23062301
500295;540.00;4110;Asset photography - Sep 2023;2023-09-12;23062301;23062302
500211;1160.00;3100;Institutional partner travel - Sep 2023;2023-09-13;63336966;23062302
500260;5430.00;4200;Asset transport and handling;2023-09-13;63336966;23062302
500227;2040.00;4200;Asset insurance services - Sep 2023;2023-09-14;60706330;23070303
500229;1340.00;4110;Provenance research services;2023-09-14;23062301;23070303
500225;774.20;3100;Institutional partner travel - Sep 2023;2023-09-15;63336966;23062302
500226;680.00;4200;Asset transport and handling;2023-09-15;63336966;23062301
500292;4036.84;4110;Provenance research services;2023-09-15;47132966;60706330
500294;1370.00;4120;Valuation and condition assessment;2023-09-18;23062301;64166280
500233;1490.00;6200;Recruitment services - Sep 2023;2023-09-19;23062302;23062301
500244;994.31;6200;Employee onboarding - Sep 2023;2023-09-19;23062301;60706330
500263;2527.85;6200;Recruitment services - Sep 2023;2023-09-19;23062302;NULL
500276;2379.60;4110;Asset photography - Sep 2023;2023-09-19;47132966;23062302
500217;1030.00;4200;Asset transport and handling;2023-09-20;63336966;23062302
500224;440.00;3100;Institutional partner travel - Sep 2023;2023-09-20;64166280;63336966
500237;3120.00;4200;boxes for Northbridge;2023-09-20;60706330;NULL
500261;1834.27;3100;museum outreach travel;2023-09-20;23062301;64166280
500240;1040.00;5100;Outside counsel - asset custody;2023-09-21;23062301;23070303
500256;790.00;3100;Institutional partner travel - Sep 2023;2023-09-21;64166280;63336966
500218;5050.00;4200;Asset transport and handling;2023-09-22;60706330;23062301
500228;8640.00;6200;Recruitment services - Sep 2023;2023-09-22;23070303;64166280
500257;1514.36;3100;Institutional partner travel - Sep 2023;2023-09-22;63336966;23070303
500289;1600.00;7200;Event materials and production;2023-09-22;23070303;23062301
500293;3560.00;4200;Asset insurance services - Sep 2023;2023-09-22;63336966;23062301
500213;8670.00;4200;Asset insurance services - Sep 2023;2023-09-25;60706330;23070303
500219;1190.00;4110;Provenance research services;2023-09-25;47132966;64166280
500214;827.86;4200;Asset transport and handling;2023-09-26;60706330;64166280
500230;1530.00;4200;Asset transport and handling;2023-09-26;60706330;63336966
500236;3350.00;6200;Recruitment services - Sep 2023;2023-09-26;23070303;23062301
500271;1194.55;4120;Valuation and condition assessment;2023-09-26;60706330;23070303
500284;400.00;3100;Institutional partner travel - Sep 2023;2023-09-26;63336966;64166280
500246;3670.00;6200;Recruitment services - Sep 2023;2023-09-27;23070303;23062301
500251;416.97;4200;Asset transport and handling;2023-09-27;63336966;64166280
500266;12929.67;5100;Outside counsel - supplier agreement;2023-09-27;23062301;63336966
500239;2181.84;6200;Employee onboarding - Sep 2023;2023-09-28;23070303;23062301
500258;620.16;2120;AWS Sep 2023;2023-09-28;23062301;23070303
500269;916.44;4110;Asset photography - Sep 2023;2023-09-28;47132966;23062302
500275;650.71;4110;Asset photography - Sep 2023;2023-09-28;47132966;23062301
500281;734.23;3100;Institutional partner travel - Sep 2023;2023-09-28;23062301;63336966
500290;2000.00;4110;Asset photography - Sep 2023;2023-09-28;47132966;23070303
500248;790.00;3100;Institutional partner travel - Sep 2023;2023-09-29;23062301;60706330
500268;7390.00;3100;Institutional partner travel - Sep 2023;2023-09-29;64166280;23062301
500274;920.00;6200;Employee onboarding - Sep 2023;2023-09-29;23070303;23062301
500278;2690.00;4110;asset research;2023-09-29;47132966;23070303
500348;700.00;7100;Client support platform - Oct 2023;2023-10-03;23070303;60706330
500324;2900.00;6120;Transaction processing support - Oct 2023;2023-10-04;23062302;23062301
500353;9372.64;5100;Outside counsel - transaction framework;2023-10-05;23070303;23062301
500334;323.57;2120;Engineering tools - Oct 2023;2023-10-06;72738553;23070303
500342;667.41;7100;Client support platform - Oct 2023;2023-10-06;23070303;64166280
500358;630.00;6120;reconciliation;2023-10-06;23062302;23062301
500395;175.16;2120;dev tools;2023-10-06;72738553;63336966
500311;2350.00;2300;External security review;2023-10-09;23062302;60706330
500328;953.87;6120;Transaction processing support - Oct 2023;2023-10-09;23062302;23070303
500307;1693.78;6120;Transaction processing support - Oct 2023;2023-10-10;23062302;23062301
500333;750.00;2120;Engineering tools - Oct 2023;2023-10-10;10945904;23062301
500380;10912.82;5100;Outside counsel - privacy and compliance;2023-10-10;23062301;23070303
500364;839.30;2120;AWS Oct 2023;2023-10-11;72738553;23062301
500365;710.00;4200;Asset transport and handling;2023-10-11;63336966;23062301
500367;1380.00;6120;Transaction processing support - Oct 2023;2023-10-11;23062302;64166280
500314;3120.00;2120;AWS Oct 2023;2023-10-12;10945904;23062301
500366;1510.00;2120;AWS Oct 2023;2023-10-12;72738553;23070303
500361;150.00;2120;dev tools;2023-10-14;37959476;NULL
500385;1770.00;7200;Paid media campaign - Oct 2023;2023-10-14;23070303;NULL
500312;620.00;2120;Engineering tools - Oct 2023;2023-10-15;37959476;NULL
500296;1225.88;6200;Employee onboarding - Oct 2023;2023-10-16;23070303;63336966
500316;612.69;3100;Institutional partner travel - Oct 2023;2023-10-16;23062301;64166280
500330;812.36;2120;Engineering tools - Oct 2023;2023-10-16;37959476;23070303
500332;759.84;7100;Client support platform - Oct 2023;2023-10-16;23070303;23062301
500390;832.00;6200;Recruitment services - Oct 2023;2023-10-16;23070303;23062301
500320;3060.00;4200;Asset transport and handling;2023-10-17;60706330;23062301
500341;700.00;2120;AWS Oct 2023;2023-10-18;10945904;23070303
500345;750.00;2120;Engineering tools - Oct 2023;2023-10-18;10945904;64166280
500354;1916.74;6120;Transaction processing support - Oct 2023;2023-10-18;37959476;23070303
500370;7288.65;2300;External security review;2023-10-18;23062302;23070303
500371;5691.29;5100;Outside counsel - transaction framework;2023-10-18;23070303;NULL
500377;1720.00;7100;Client support platform - Oct 2023;2023-10-18;23070303;NULL
500388;10894.11;5100;Outside counsel - platform terms;2023-10-18;23070303;23062302
500391;690.00;2120;Engineering tools - Oct 2023;2023-10-18;10945904;23062302
500300;820.00;2300;External security review;2023-10-19;23062302;64166280
500302;546.07;3100;Institutional partner travel - Oct 2023;2023-10-19;64166280;23062302
500313;9500.00;6120;Transaction processing support - Oct 2023;2023-10-19;37959476;23070303
500319;1988.68;2300;security review;2023-10-19;23062302;64166280
500339;750.00;3100;Institutional partner travel - Oct 2023;2023-10-19;23062301;63336966
500303;5170.00;6120;reconciliation;2023-10-20;37959476;23070303
500389;3108.25;6120;Transaction processing support - Oct 2023;2023-10-20;37959476;23062301
500355;1120.00;3100;Institutional partner travel - Oct 2023;2023-10-21;23062301;63336966
500308;3510.00;6200;Recruitment services - Oct 2023;2023-10-22;23070303;23062301
500315;8160.00;6120;Transaction processing support - Oct 2023;2023-10-23;37959476;63336966
500317;2970.00;2120;AWS Oct 2023;2023-10-23;69733054;64166280
500338;1780.00;2120;AWS Oct 2023;2023-10-23;37959476;23062301
500369;4240.00;6120;Transaction processing support - Oct 2023;2023-10-23;37959476;23070303
500382;5850.00;3100;Institutional partner travel - Oct 2023;2023-10-23;63336966;23062301
500384;1594.57;6200;Recruitment services - Oct 2023;2023-10-23;23070303;NULL
500336;12761.58;7200;Paid media campaign - Oct 2023;2023-10-24;23070303;23062301
500299;7691.47;6200;Recruitment services - Oct 2023;2023-10-25;23070303;23062301
500331;1870.00;7200;Paid media campaign - Oct 2023;2023-10-25;23070303;23062301
500373;1760.00;7200;Paid media campaign - Oct 2023;2023-10-25;23070303;23062301
500393;1163.40;3100;Institutional partner travel - Oct 2023;2023-10-25;63336966;23070303
500301;70.00;2120;Engineering tools - Oct 2023;2023-10-26;72738553;64166280
500376;4134.30;7200;Paid media campaign - Oct 2023;2023-10-26;23070303;23062302
500381;200.00;2120;Engineering tools - Oct 2023;2023-10-26;69733054;23062301
500387;3850.00;4200;Asset transport and handling;2023-10-26;60706330;23062301
500349;520.00;7100;Client support platform - Oct 2023;2023-10-27;23070303;60706330
500386;10290.00;6200;recruiter;2023-10-27;23070303;23062302
500329;2270.00;4200;Asset transport and handling;2023-10-30;63336966;23070303
500360;1900.00;2120;Engineering tools - Oct 2023;2023-10-30;37959476;23062301
500368;690.00;2120;AWS Oct 2023;2023-10-30;69733054;23062302
500372;1137.75;7100;Client support platform - Oct 2023;2023-10-30;23070303;64166280
500378;9953.14;4200;Asset transport and handling;2023-10-31;63336966;23062301
500343;514.59;3100;Institutional partner travel - Nov 2023;2023-11-01;23062301;64166280
500383;1730.00;2120;AWS Nov 2023;2023-11-01;26887263;23062301
500335;3180.00;2120;AWS Nov 2023;2023-11-02;37959476;63336966
500379;5760.00;4200;Asset transport and handling;2023-11-02;60706330;23062301
500298;1760.00;2300;External security review;2023-11-05;26887263;60706330
500297;1189.17;6200;Recruitment services - Nov 2023;2023-11-06;23070303;26887263
500309;810.00;2120;Engineering tools - Nov 2023;2023-11-06;37959476;23062301
500356;520.00;2120;server;2023-11-06;37959476;23070303
500325;1197.50;7200;Paid media campaign - Nov 2023;2023-11-07;23070303;23062301
500346;599.12;2120;Engineering tools - Nov 2023;2023-11-07;69733054;63336966
500363;3220.00;7200;Paid media campaign - Nov 2023;2023-11-07;23070303;60706330
500357;790.00;6200;employee setup;2023-11-08;23070303;60706330
500344;300.00;7100;Client support platform - Nov 2023;2023-11-09;95209691;23070303
500321;3850.00;4200;Asset transport and handling;2023-11-10;63336966;23070303
500323;1710.00;6120;Transaction processing support - Nov 2023;2023-11-10;87658927;23062301
500327;319.41;2120;Engineering tools - Nov 2023;2023-11-10;37959476;23062302
500392;530.00;2120;AWS Nov 2023;2023-11-10;10945904;23070303
500326;1259.12;6200;Employee onboarding - Nov 2023;2023-11-11;33098996;23062302
500322;4680.00;5100;Outside counsel - corporate matters;2023-11-12;23070303;60706330
500375;2158.43;6120;Transaction processing support - Nov 2023;2023-11-13;87658927;23062302
500340;2430.00;2120;AWS Nov 2023;2023-11-14;10945904;64166280
500362;1730.00;6120;Transaction processing support - Nov 2023;2023-11-14;87658927;23062301
500304;15230.00;6200;Recruitment services - Nov 2023;2023-11-15;33098996;23062302
500337;10130.00;7200;Paid media campaign - Nov 2023;2023-11-15;23070303;23062302
500347;511.01;2120;AWS Nov 2023;2023-11-15;37959476;23070303
500374;5594.27;6120;reconciliation;2023-11-15;37959476;64166280
500305;1179.03;2120;AWS Nov 2023;2023-11-16;37959476;26887263
500306;14540.00;5100;Outside counsel - supplier agreement;2023-11-16;23070303;63336966
500352;4110.00;5100;Outside counsel - corporate matters;2023-11-16;23070303;23062301
500359;600.00;2120;AWS Nov 2023;2023-11-16;72738553;23062301
500310;830.88;2120;server;2023-11-17;26887263;23062301
500318;9750.00;6200;Recruitment services - Nov 2023;2023-11-17;33098996;23070303
500351;450.00;2120;Engineering tools - Nov 2023;2023-11-17;10945904;60706330
500394;291.28;2120;Engineering tools - Nov 2023;2023-11-17;72738553;23070303
500350;970.00;2120;server;2023-11-18;37959476;23062302
500409;520.00;2120;Engineering tools - Nov 2023;2023-11-19;69733054;60706330
500427;822.59;2120;Additional cloud capacity - November;2023-11-20;72738553;60706330
500454;1280.00;2120;Production hosting - traffic expansion;2023-11-20;37959476;63336966
500458;3380.00;2300;External security review;2023-11-20;26887263;60706330
500470;2998.91;7100;Temporary customer support coverage;2023-11-20;95209691;64166280
500479;14230.00;6200;Recruitment services - Nov 2023;2023-11-20;33098996;64166280
500510;1300.00;7200;Paid media campaign - Nov 2023;2023-11-20;23070303;64166280
500520;3940.00;5200;verification;2023-11-20;23070303;64166280
500490;1260.00;7100;Client support platform - Nov 2023;2023-11-21;95209691;23062302
500500;4351.57;7100;Support contractor coverage;2023-11-21;95209691;64166280
