p_id,name,category,owned_by,est_value,status
457715,Alexander the Great Gold Stater,Collectible Coins,e15864f3-5e11-4048-a147-fd2d435a6f06,349975,sold
459696,Roger Federer's Wimbledon Racket,Other,d8d3d04d-73f1-409e-b33f-62c24c13f982,227541,sold
460260,Mozart's Harpsichord,Musical Instruments,a7625e72-fadf-4bf8-8554-9622acc3fbcb,4939468,sold
469008,Gettysburg Address Draft,Historical Artifacts,328a7425-6d21-42da-a4da-3669dd829b25,6201708,sold
472308,Björk's Swan Dress,Designer Fashion,2e23e9e3-f0fd-409e-a065-eb19fe1df618,105866,sold
473781,Einstein's Pipe,Other,65c3bd5f-7431-4a03-bb54-11a113000d2a,184647,sold
474997,Beethoven's Piano,Other,20a75ffa-08de-4d05-8eac-22f40e57e40c,4682059,sold
476093,Usain Bolt's Olympic Gold Medal,Other,fcf5dce9-aaa1-4a6c-85c5-03b4d7b9fbc3,685429,sold
479417,Magic Johnson's Lakers Championship Ring,Other,3ab4adee-ba03-43f0-a79e-4af0272fc5f0,262708,sold
486387,Highland Park 50 Year Whisky,Vintage Wine & Spirits,906040d4-7f8c-4fa7-ae50-ead831d5b014,320226,sold
486418,Indiana Jones' Whip Prop,Other,cf38e9e0-9b01-4b8b-8195-d531adc45c5f,435136,sold
487743,Marie Antoinette's Lock of Hair,Other,a40c461d-cce0-42d7-a3c3-549e40f711b0,84170,sold
495794,Cher's Bob Mackie Gown,Designer Fashion,d500e6b2-c946-43c1-b899-3da59e0dba6c,127980,sold
499072,Harry Potter's Wand Prop,Other,f53c9565-0500-4a9c-97c1-bbe20b10f550,333608,sold
506017,Napoleon's Personal Cognac Reserve,Vintage Wine & Spirits,a6ea7fd3-059e-4d16-b118-17d25c1bbda1,330258,sold
506486,Marie Curie's Laboratory Notebook,Historical Artifacts,2c6dfff7-1ac8-44f3-9a22-178f95b299d5,1002432,sold
507285,Iron Man Suit (MCU),Other,1808d0f2-56df-4b7c-9e4d-57d09105867d,762686,sold
510195,Moon Landing Flag from Apollo 15,Historical Artifacts,d500e6b2-c946-43c1-b899-3da59e0dba6c,4715819,sold
517511,Art Deco Émile-Jacques Ruhlmann Cabinet,Antique Furniture,090d7e86-c8d4-47b8-bbdb-34887efc4088,712430,sold
517582,JFK's Omega Ultra Thin,Watches,654ae9eb-a1eb-4969-8a31-ae975c36497b,363871,sold
549848,Prince's Yellow Cloud Guitar,Musical Instruments,8f24b5e7-6a61-46df-8925-f0c946080cb7,816280,sold
551556,Ancient Egyptian Gold Collar,Jewelry,2c6dfff7-1ac8-44f3-9a22-178f95b299d5,1150090,sold
554243,Prince's Purple Rain Outfit,Designer Fashion,bf796172-5192-4ccd-aeeb-f6ffa7651c8c,320457,sold
555363,Lady Gaga's Meat Dress (Preserved),Designer Fashion,3ab4adee-ba03-43f0-a79e-4af0272fc5f0,120046,sold
571569,Miles Davis' Trumpet,Musical Instruments,37021f1f-7445-4f99-92f3-6466f8fa7154,1168563,sold
588162,Batman's Batmobile (1989),Other,2c6dfff7-1ac8-44f3-9a22-178f95b299d5,7711138,sold
595463,Tolkien's Hobbit Manuscript,Rare Books & Manuscripts,768b15a4-71dd-4538-857c-82e66b709505,2677735,sold
607313,John Lennon's Rolls-Royce Phantom,Luxury Vehicles,e4c01ebc-94bd-454e-a47b-efd4d2ce9c27,2822461,sold
620574,Rosetta Stone Cast (Original Mold),Other,ad1dc16c-ed82-42c0-992d-de80b1ee9c53,630254,sold
624785,Wayne Gretzky's Rookie Card (PSA 10),Other,6782c60e-32d6-45fd-ae16-0d1c29697e30,4233494,sold
634843,Churchill's Signed War Dispatch,Historical Artifacts,768b15a4-71dd-4538-857c-82e66b709505,375139,sold
635353,Wyatt Earp's Badge,Other,1de8463a-aaab-4442-8b3d-a195ed10dc8b,959650,sold
639722,Ella Fitzgerald's Microphone,Musical Instruments,6f8b6e8e-d527-47ec-ad10-c06db65ceeb1,138005,sold
640535,Wild Bill Hickok's Poker Hand (Dead Man's Hand Cards),Other,bc2c4153-3b6a-4852-b852-769832b311fa,469547,sold
646927,Bob Dylan's Newport Folk Festival Guitar,Musical Instruments,5cab340a-6412-4f3e-b052-510fde129ed2,1491948,sold
647010,Cleopatra's Pearl Earring (Replica),Jewelry,7c805a13-343b-4f37-84f8-0c3068cc6ecd,122113,sold
657839,James Dean's Porsche 550 Spyder,Luxury Vehicles,a7625e72-fadf-4bf8-8554-9622acc3fbcb,6001020,sold
661098,Dead Sea Scrolls Fragment,Other,95cf0677-73a6-4d22-ba15-7179306a2c93,5472614,sold
662248,Dali Surrealist Lithograph,Fine Art,59d0b7ee-2cb6-46ad-8ca8-3fb58c8d26b4,267083,sold
662435,Frank Sinatra's Dual-Ghia,Luxury Vehicles,3f34272c-f0f4-43eb-9b0d-ac0fe94b5051,648490,sold
668236,Gutenberg Bible Single Page,Other,30ad95e1-c96e-4e5e-89a1-3f65b06b348e,1291669,sold
671433,Chuck Yeager's Flight Suit,Other,6f8b6e8e-d527-47ec-ad10-c06db65ceeb1,426433,sold
671953,Marie Antoinette's Writing Desk,Antique Furniture,9c6514d3-7ef8-4c97-9283-dd9bb2932452,1085829,sold
687711,Al Capone's Fedora Hat,Other,f9ea818b-60cd-4691-bf76-8314f903f816,282258,sold
697882,Frank Lloyd Wright Dining Table,Antique Furniture,06728ac9-2266-4181-a930-c49e95b7d3e4,328683,sold
699283,First Bitcoin Mining Computer,Other,87ed858f-77f8-49dc-bcf3-fca5423ce2da,3841920,sold
702887,Concorde Nose Cone Section,Other,64bcbd4f-1f60-42a9-9d63-db55932ea747,1203557,sold
708283,Martin Luther King Jr.'s Speech Notes,Other,f6821c08-4915-4fae-b21e-f3aa8f399946,1872395,sold
717920,Château d'Yquem 1811,Vintage Wine & Spirits,02c1b489-8644-4dbe-b4e7-912fb46d19c7,151646,sold
726628,Caravaggio School Portrait,Fine Art,3b44a14a-af26-480c-a63c-fe545764c27d,2146542,sold
730604,Gandhi's Walking Staff,Other,e190e338-e0d2-4c8a-ab05-a5b2563dc7a3,1590031,sold
736547,Shakespeare's Quill Pen,Other,f6821c08-4915-4fae-b21e-f3aa8f399946,4883770,sold
739370,Marilyn Monroe's Subway Grate Dress,Haute Couture,ce14e7cc-37b6-4584-81f8-c02e23e5d31d,8267610,sold
760201,Glenfiddich 1937 Single Malt,Vintage Wine & Spirits,033fd6ec-1fa9-48c8-a698-802fe2b7b591,225156,sold
769831,1937 Bugatti Type 57SC Atlantic,Luxury Vehicles,e190e338-e0d2-4c8a-ab05-a5b2563dc7a3,51602044,sold
778256,Hubble Telescope Mirror Fragment,Other,cfa187ac-568c-4907-966e-f786d0e53582,1757662,sold
788089,Marco Polo's Compass,Other,3e657da6-c29e-41ac-af33-032f874927fb,2346990,sold
790040,Original Magna Carta Fragment,Historical Artifacts,6782c60e-32d6-45fd-ae16-0d1c29697e30,4213563,sold
799545,Maharaja's Emerald Necklace,Jewelry,30ad95e1-c96e-4e5e-89a1-3f65b06b348e,982382,sold
800917,John Lennon's Steinway Piano,Musical Instruments,1f6d0ff4-252c-454b-a127-b48e35e44139,4266075,sold
800941,Winston Churchill's Pocket Watch,Watches,3ab4adee-ba03-43f0-a79e-4af0272fc5f0,546357,sold
801246,Virginia Woolf's Personal Diary,Rare Books & Manuscripts,8e352dfa-52cc-4d06-a8d5-355ff9ca4d74,421091,sold
806498,Leonardo da Vinci's Sketch Book Page,Other,033fd6ec-1fa9-48c8-a698-802fe2b7b591,10162964,sold
818103,Andy Warhol's Cartier Tank,Watches,a6ea7fd3-059e-4d16-b118-17d25c1bbda1,163185,sold
821409,Picasso's Paint Palette,Other,79a0f558-4c32-4140-81d1-1f5518b3df29,915669,sold
824008,Sputnik Satellite Component,Other,a49ed267-b9bd-48d7-8ce8-818b5ba5c8d3,1175332,sold
829580,Tiger Woods' 1997 Masters Trophy,Other,78aa56ed-b20d-4828-9dd2-b26c97bb0fd1,1574848,sold
840652,SpaceX Dragon Capsule Heat Shield,Other,5cab340a-6412-4f3e-b052-510fde129ed2,1204460,sold
861085,Rosa Parks' Bus Ticket,Historical Artifacts,16180b9b-bfde-4385-813c-2fedd086f7d6,158819,sold
865297,Hemingway's Typewriter,Other,02c1b489-8644-4dbe-b4e7-912fb46d19c7,569315,sold
866048,Josephine Baker's Banana Skirt,Haute Couture,155454bd-e323-4dad-97dc-2878048e500f,98699,sold
866267,Lewis & Clark's Journal,Other,1de8463a-aaab-4442-8b3d-a195ed10dc8b,2111074,sold
866740,Geronimo's War Lance,Other,ed75ebb9-45cd-41fc-baec-b55f83706926,982098,sold
888162,Bonnie & Clyde's Death Car,Luxury Vehicles,5d26b60f-9b1c-4230-aa05-28b0809b41fd,896273,sold
898696,Hawking's Wheelchair,Other,1de8463a-aaab-4442-8b3d-a195ed10dc8b,1392419,sold
901308,Elvis Presley's Pink Cadillac,Luxury Vehicles,39b48e17-dc3f-4c27-8df9-2f1e18aac1af,2341207,sold
906139,Art Deco Cartier Panther Bracelet,Jewelry,c83107ce-9568-44c5-a67a-86fb4d45b726,560073,sold
906309,Rothko Color Field Study,Fine Art,e3d62d7e-fe01-4292-a273-cbedc9d3e924,1079501,sold
924261,Annie Oakley's Rifle,Other,65c3bd5f-7431-4a03-bb54-11a113000d2a,694263,sold
924264,Grace Kelly's Wedding Dress Replica,Haute Couture,7c805a13-343b-4f37-84f8-0c3068cc6ecd,608100,sold
928450,Grace Kelly's Engagement Ring Replica,Jewelry,1f6d0ff4-252c-454b-a127-b48e35e44139,432988,sold
932347,Babe Ruth's 'Called Shot' Baseball,Other,b3141126-49cb-4bc3-a20e-f8560214f2e0,1310075,sold
936520,Darwin's Specimen Collection Box,Other,cfa187ac-568c-4907-966e-f786d0e53582,508168,sold
937695,Madonna's Jean Paul Gaultier Cone Bra,Designer Fashion,bdc5147d-8263-4ebb-ba64-580f3a6fcc5d,120642,sold
946593,Alan Turing's Enigma Machine,Other,d8d3d04d-73f1-409e-b33f-62c24c13f982,3592000,sold
948318,Queen Elizabeth I Gold Crown,Collectible Coins,ee4bdadb-0479-485a-a6fc-d644d4c6fad2,521012,sold
948652,Steve McQueen's Heuer Monaco,Watches,92fe1b42-96fd-4b95-b2c0-5657964f78b8,183289,sold
959625,E.T. Animatronic Model,Other,3e657da6-c29e-41ac-af33-032f874927fb,907578,sold
961166,Queen Victoria's Mourning Jewelry,Jewelry,6fdad0b2-21a4-40e2-999a-977d1926ca09,194031,sold
964820,Byron's Handwritten Poetry Book,Rare Books & Manuscripts,73c5a892-2d98-4402-9bb5-b3a63f0e5665,1093892,sold
973999,Buzz Aldrin's Speedmaster,Watches,d5a9da49-7dd3-42ec-bf11-7796aa8f4c49,2591796,sold
981694,Original iPhone Launch Keynote Prototype,Other,275b24f1-2dbc-40bb-88ee-f8e9b192f077,645051,sold
982508,Kobe Bryant's Final Game Jersey,Other,7e350d5c-3a9f-41f9-ade3-a605388355b7,1243567,sold
997928,Dorothy's Ruby Slippers (Wizard of Oz),Other,59d0b7ee-2cb6-46ad-8ca8-3fb58c8d26b4,4378754,sold
190665,Bugatti Veyron Super Sport,Luxury Vehicles,dc48f39b-344c-4151-adce-7acfc85f1380,3408792,reserved
496864,Penfolds Grange 1951,Vintage Wine & Spirits,0ebb889c-dcfa-4dc9-9ac4-de2879d4a61b,105086,reserved
707887,Dom Pérignon 1921,Vintage Wine & Spirits,f5fbffb8-52bf-4fb6-aa84-afbcfafffb0f,48727,reserved
293998,Classical Boston Mahogany Sofa,Antique Furniture,5aeda594-8714-4baa-97f5-dfc14d319957,139948,pending
985971,Art Nouveau Tiffany Desk Lamp,Antique Furniture,3307e844-d472-405c-aa92-d568dea7c38c,92077,pending
124899,Titanic First Class Dinner Menu,Historical Artifacts,40ba523d-1576-46b9-bdf1-92105d350f13,111685,pending
178756,Neil Armstrong's Apollo 11 Flight Suit,Historical Artifacts,0925984e-c142-4373-8d21-c0cb552d9d82,4411369,pending
437052,Napoleon's Personal Writing Desk,Historical Artifacts,f5fbffb8-52bf-4fb6-aa84-afbcfafffb0f,1407314,pending
129123,Medieval Knight's Helmet,Historical Artifacts,9eb22f71-12a3-48ae-b7bb-246cb4feb6fb,125817,pending
229069,John F Kennedy's Handwritten Letter,Historical Artifacts,dc48f39b-344c-4151-adce-7acfc85f1380,462406,pending
718310,Victorian Diamond Brooch,Jewelry,bcd40f55-1c09-4c5d-98f2-768fae06d08c,53414,pending
821431,Steve Jobs' Original iPhone Prototype,Other,81091a02-84d3-4c9c-9d0a-dc8c70986cf1,231485,pending
395828,Beatles' Original Abbey Road Master Tape,Other,727b2914-a1db-42b1-ae22-bbf58c1178a5,696913,pending
755279,Regency Period Secretary Desk,Antique Furniture,5aeda594-8714-4baa-97f5-dfc14d319957,82089,listed
361508,Chinese Sycee Silver Ingot,Collectible Coins,b01afa48-40e5-4fc1-b1b4-4d013ad0de04,68219,listed
599255,1933 Double Eagle Gold Coin,Collectible Coins,92398d57-2c85-4417-89c3-115135a104e0,9420502,listed
461022,1913 Liberty Head Nickel,Collectible Coins,f5fbffb8-52bf-4fb6-aa84-afbcfafffb0f,4346778,listed
544539,1794 Flowing Hair Silver Dollar,Collectible Coins,40ba523d-1576-46b9-bdf1-92105d350f13,11126515,listed
212050,Louis Vuitton Trunk (1920s),Designer Fashion,27685539-5525-4a14-ab79-5dfd1e918233,73166,listed
836859,Jackie Kennedy's Pillbox Hat,Designer Fashion,0925984e-c142-4373-8d21-c0cb552d9d82,763412,listed
655228,David Bowie's Ziggy Stardust Platform Boots,Designer Fashion,7e1543c0-0b3d-45f7-8557-9dca6efe25fc,140087,listed
978523,Chanel Vintage Quilted Handbag,Designer Fashion,52bf2a97-dacc-4811-a343-30819f7baf98,14267,listed
173568,Renaissance Portrait by Unknown Master,Fine Art,9eb22f71-12a3-48ae-b7bb-246cb4feb6fb,881913,listed
222674,Monet Water Lilies Study,Fine Art,73c879d7-51ec-422f-a660-c7acd98830aa,2830190,listed
593224,Frida Kahlo Self-Portrait Sketch,Fine Art,f5fbffb8-52bf-4fb6-aa84-afbcfafffb0f,859942,listed
454039,Baroque Sculpture by Unknown Master,Fine Art,52bf2a97-dacc-4811-a343-30819f7baf98,940552,listed
326398,Schiaparelli Lobster Dress,Haute Couture,5aeda594-8714-4baa-97f5-dfc14d319957,151285,listed
933605,Marilyn Monroe's Seven Year Itch Dress,Haute Couture,38fc8ee7-7126-459a-a21a-0bd283e80529,2649975,listed
933443,Elie Saab Beaded Gown,Haute Couture,11ce6126-9b47-40a8-81a9-a9fd49caf3f7,23072,listed
153587,Lincoln's Handwritten Letter,Historical Artifacts,27685539-5525-4a14-ab79-5dfd1e918233,799665,listed
142372,Laika the Space Dog's Paw Print Cast,Historical Artifacts,f0f750f7-2d34-4731-97f3-270b2d2c068a,686957,listed
362804,Egyptian Alabaster Shabti,Historical Artifacts,c3de8aee-2615-4e92-a247-d32f318ff378,113373,listed
543049,Civil War Confederate Flag,Historical Artifacts,11ce6126-9b47-40a8-81a9-a9fd49caf3f7,124142,listed
183625,Victorian Ruby Brooch,Jewelry,73c879d7-51ec-422f-a660-c7acd98830aa,80755,listed
268224,Harry Winston Sapphire Pendant,Jewelry,7a3520ed-ccf4-4ef6-b184-f2be8831e0ad,464735,listed
622750,Edwardian Diamond Tiara,Jewelry,c3de8aee-2615-4e92-a247-d32f318ff378,331332,listed
254149,Bvlgari Serpenti Watch,Jewelry,52bf2a97-dacc-4811-a343-30819f7baf98,100367,listed
101876,Audrey Hepburn's Breakfast at Tiffany's Tiara,Jewelry,aa545ea7-9182-4985-949a-62c680e98581,299171,listed
657154,Art Deco Emerald Earrings,Jewelry,0ebb889c-dcfa-4dc9-9ac4-de2879d4a61b,168434,listed
506071,1962 Ferrari 250 GTO,Luxury Vehicles,73c879d7-51ec-422f-a660-c7acd98830aa,45118973,listed
531537,Stradivarius Violin 'Lady Blunt',Musical Instruments,e81b1f78-27a6-4e3d-bc6e-980e331c2e0b,17549087,listed
758580,Martin D-45 Acoustic Guitar (1939),Musical Instruments,73c879d7-51ec-422f-a660-c7acd98830aa,158519,listed
954216,Kurt Cobain's MTV Unplugged Guitar,Musical Instruments,412abc4b-5bae-47b5-9ea5-bff0fb4f2b07,8503431,listed
363434,Space Shuttle Heat Shield Tile,Other,b01afa48-40e5-4fc1-b1b4-4d013ad0de04,57478,listed
873221,Original Star Wars R2-D2 Filming Model,Other,d7ca0446-d506-41f5-8496-7508aba33868,1994763,listed
230476,Original Star Wars Lightsaber Prop,Other,e35ec7b2-ef2b-4f30-bfbd-5466320eed5f,405433,listed
203872,Moon Rock Sample (Apollo 17),Other,40ba523d-1576-46b9-bdf1-92105d350f13,4826170,listed
315902,Michael Jordan's 1998 Finals Game-Worn Jersey,Other,729f8593-133e-40c9-afd7-09f8bc19ec76,1071437,listed
374894,First Apple Computer (Apple-1),Other,3307e844-d472-405c-aa92-d568dea7c38c,527255,listed
134959,Fabergé Imperial Egg Replica,Other,e81b1f78-27a6-4e3d-bc6e-980e331c2e0b,422713,listed
497920,Gutenberg Bible Leaf,Rare Books & Manuscripts,c6f2cc06-1729-4d1a-b451-e586a6c837e4,159593,listed
557307,First Edition 'Pride and Prejudice',Rare Books & Manuscripts,11ce6126-9b47-40a8-81a9-a9fd49caf3f7,282346,listed
488048,Darwin's 'Origin of Species' Signed,Rare Books & Manuscripts,916cf585-9e21-463b-a6a6-2ad92fea0ce7,589883,listed
732672,Macallan 1926 Single Malt Whisky,Vintage Wine & Spirits,92398d57-2c85-4417-89c3-115135a104e0,2019895,listed
225749,Dalmore 62 Year Old Single Malt,Vintage Wine & Spirits,7a3520ed-ccf4-4ef6-b184-f2be8831e0ad,283959,listed
474812,Château Lafite Rothschild 1869,Vintage Wine & Spirits,b01afa48-40e5-4fc1-b1b4-4d013ad0de04,349392,listed
385488,Omega Speedmaster Moon Watch (1969),Watches,5aeda594-8714-4baa-97f5-dfc14d319957,74964,listed
491455,Ming Dynasty Scholar's Table,Antique Furniture,bcd40f55-1c09-4c5d-98f2-768fae06d08c,391043,expired
729771,Timothée Chalamet's Dune Premiere Hat,Designer Fashion,37a74de7-9ce7-4988-9c3f-07013da7b37f,29298,expired
168508,Christian Lacroix Couture Ensemble,Haute Couture,e35ec7b2-ef2b-4f30-bfbd-5466320eed5f,55216,expired
614579,Amati Cello (17th Century),Musical Instruments,0ebb889c-dcfa-4dc9-9ac4-de2879d4a61b,1477781,expired
950391,Muhammad Ali's Boxing Gloves (Thrilla in Manila),Other,28fd6000-2d0c-4aa0-a551-bcd86a4d6b18,632910,expired
943301,Einstein's Handwritten Relativity Equations,Rare Books & Manuscripts,83904eca-54d3-4253-8a49-ca2acd2718b6,1426011,expired
575498,Elvis Presley's Stage-Worn Jumpsuit,Designer Fashion,1daed9bb-6806-476d-84b1-534d0695dcbb,384379,draft
292651,Banksy 'Girl with Balloon' Print,Fine Art,916cf585-9e21-463b-a6a6-2ad92fea0ce7,123540,draft
838492,Vintage Selmer Mark VI Saxophone,Musical Instruments,e81b1f78-27a6-4e3d-bc6e-980e331c2e0b,28060,draft
796477,Romanée-Conti Grand Cru 1945,Vintage Wine & Spirits,916cf585-9e21-463b-a6a6-2ad92fea0ce7,870015,draft
586787,Cognac Croizet 1858,Vintage Wine & Spirits,916cf585-9e21-463b-a6a6-2ad92fea0ce7,146158,draft
999468,Ancient Greek Dekadrachm,Collectible Coins,bcd40f55-1c09-4c5d-98f2-768fae06d08c,294845,canceled
581684,Givenchy Audrey Hepburn Dress,Haute Couture,916cf585-9e21-463b-a6a6-2ad92fea0ce7,135140,canceled
891293,Chanel Couture Tweed Suit (1960s),Haute Couture,7a3520ed-ccf4-4ef6-b184-f2be8831e0ad,94215,canceled
288117,Egyptian Scarab Amulet (1500 BC),Historical Artifacts,3307e844-d472-405c-aa92-d568dea7c38c,175120,canceled
792477,Porsche 911 Turbo S (Limited Edition),Luxury Vehicles,27685539-5525-4a14-ab79-5dfd1e918233,370916,canceled
726903,1959 Gibson Les Paul Sunburst,Musical Instruments,9eb22f71-12a3-48ae-b7bb-246cb4feb6fb,551953,canceled
941846,Serena Williams' Childhood Tennis Racquet,Other,729f8593-133e-40c9-afd7-09f8bc19ec76,82771,canceled
