quarter;fiscal_year;category;revenue;operating_expenses;total_transactions;updated_at
Q4;2023;FASHION;16216.59;7256.45;199;2024-01-19 10:18:00
Q4;2023;FILM_AND_MEDIA;5283.73;4145.09;71;2024-01-26 11:31:00
Q4;2023;FILM_PROP;44446.71;16262.42;495;2024-01-21 09:52:00
Q4;2023;FURNITURE;30539.20;14263.81;366;2024-01-23 09:44:00
Q4;2023;GLASS;6748.98;4520.81;98;2024-01-20 11:44:00
Q4;2023;HISTORIC_OBJECT;24129.45;14719.32;264;2024-01-16 11:31:00
Q4;2023;INDUSTRIAL_OBJECT;19637.11;8777.54;219;2024-01-24 11:37:00
Q4;2023;JEWELRY;14686.85;5158.12;118;2024-01-19 12:31:00
Q4;2023;MANUSCRIPT;15138.11;12256.98;188;2024-01-18 17:44:00
Q4;2023;MAP;15533.18;6361.37;188;2024-01-22 13:05:00
Q4;2023;METALWORK;15581.43;7025.15;178;2024-01-22 11:18:00
Q4;2023;MUSICAL_INSTRUMENT;30980.08;12138.62;305;2024-01-20 16:31:00
Q4;2023;MUSIC_MEMORABILIA;48734.23;15281.58;483;2024-01-23 11:52:00
Q4;2023;NATURAL_HISTORY;4592.25;5116.05;46;2024-01-16 14:31:00
Q4;2023;PAINTING;132360.54;52690.11;1136;2024-01-20 16:18:00
Q4;2023;PHOTOGRAPH;31795.74;12142.97;370;2024-01-22 17:05:00
Q4;2023;PRINT;49481.33;18229.53;556;2024-01-26 17:18:00
Q4;2023;RARE_BOOK;27577.62;13258.98;301;2024-01-18 13:12:00
Q4;2023;RELIGIOUS_OBJECT;8327.78;8199.63;110;2024-01-26 11:12:00
Q4;2023;SCIENTIFIC_INSTRUMENT;14629.25;7498.26;164;2024-01-24 10:52:00
Q4;2023;SCULPTURE;60691.40;27748.39;537;2024-01-16 16:18:00
Q4;2023;SPORTS_MEMORABILIA;32545.37;10699.94;394;2024-01-23 15:18:00
Q4;2023;TECHNOLOGY;37104.83;13563.16;355;2024-01-25 15:12:00
Q4;2023;TEXTILE;29270.53;13831.78;340;2024-01-16 11:05:00
Q4;2023;THEATRE_OBJECT;13531.30;7171.00;147;2024-01-18 09:52:00
Q4;2023;TRANSPORTATION;9936.21;8760.94;80;2024-01-16 10:31:00
Q1;2024;ARCHAEOLOGICAL_OBJECT;10379.27;7393.68;99;2024-04-13 14:31:00
Q1;2024;ARCHITECTURAL_ELEMENT;24494.50;20009.13;237;2024-04-17 13:44:00
Q1;2024;ARCHIVAL_COLLECTION;78668.60;39453.58;706;2024-04-17 12:31:00
Q1;2024;CERAMIC;62144.72;20097.17;616;2024-04-14 13:24:00
Q1;2024;COLLECTION;51730.86;20577.87;463;2024-04-14 12:05:00
Q1;2024;DESIGN_OBJECT;97338.48;24259.94;813;2024-04-16 09:31:00
Q1;2024;DRAWING;77851.38;22974.42;707;2024-04-14 10:05:00
Q1;2024;ETHNOGRAPHIC_OBJECT;26165.32;12377.82;184;2024-04-14 13:24:00
Q1;2024;FASHION;39302.21;12717.40;394;2024-04-17 15:37:00
Q1;2024;FILM_AND_MEDIA;27525.06;9982.63;271;2024-04-17 14:37:00
Q1;2024;FILM_PROP;89576.18;22978.25;817;2024-04-15 17:24:00
Q1;2024;FURNITURE;57412.04;22401.93;555;2024-04-16 14:31:00
Q1;2024;GLASS;21424.12;6942.08;205;2024-04-12 11:05:00
Q1;2024;HISTORIC_OBJECT;57205.27;22571.60;560;2024-04-16 12:05:00
Q1;2024;INDUSTRIAL_OBJECT;38931.48;13730.16;364;2024-04-14 15:12:00
Q1;2024;JEWELRY;46844.25;13503.67;352;2024-04-16 17:31:00
Q1;2024;MANUSCRIPT;33566.30;18753.15;322;2024-04-12 16:52:00
Q1;2024;MAP;34223.03;9174.54;325;2024-04-15 09:31:00
Q1;2024;METALWORK;46691.73;15137.76;391;2024-04-12 15:52:00
Q1;2024;MUSICAL_INSTRUMENT;64565.93;19163.58;536;2024-04-13 15:24:00
Q1;2024;MUSIC_MEMORABILIA;98424.92;22683.49;855;2024-04-12 14:44:00
Q1;2024;NATURAL_HISTORY;26870.89;12450.88;188;2024-04-13 14:37:00
Q1;2024;PAINTING;258366.71;82734.85;1945;2024-04-12 09:31:00
Q1;2024;PHOTOGRAPH;66621.69;18162.94;651;2024-04-13 11:05:00
Q1;2024;PRINT;91939.65;26449.24;927;2024-04-17 17:05:00
Q1;2024;RARE_BOOK;69804.63;18415.16;607;2024-04-16 16:52:00
Q1;2024;RELIGIOUS_OBJECT;39562.24;21727.43;343;2024-04-12 13:05:00
Q1;2024;SCIENTIFIC_INSTRUMENT;44066.81;15870.74;404;2024-04-13 15:37:00
Q1;2024;SCULPTURE;110864.98;44210.73;877;2024-04-15 15:24:00
Q1;2024;SPORTS_MEMORABILIA;125300.63;24499.94;1046;2024-04-15 12:18:00
Q1;2024;TECHNOLOGY;115407.17;26205.07;820;2024-04-17 15:12:00
Q1;2024;TEXTILE;52163.47;18579.35;563;2024-04-13 14:31:00
Q1;2024;THEATRE_OBJECT;27358.30;9658.89;268;2024-04-15 13:05:00
Q1;2024;TRANSPORTATION;37207.18;24150.93;289;2024-04-14 11:31:00
Q2;2024;ARCHAEOLOGICAL_OBJECT;10740.03;9968.35;64;2024-07-26 13:12:00
Q2;2024;ARCHITECTURAL_ELEMENT;16604.83;23392.22;113;2024-07-24 15:24:00
Q2;2024;ARCHIVAL_COLLECTION;61839.92;79546.34;372;2024-07-26 17:37:00
Q2;2024;CERAMIC;51070.65;26278.53;340;2024-07-27 14:31:00
Q2;2024;COLLECTION;46874.51;37784.02;273;2024-07-24 12:05:00
Q2;2024;DESIGN_OBJECT;64057.57;27296.73;385;2024-07-29 10:31:00
Q2;2024;DRAWING;69205.78;30372.00;437;2024-07-29 15:12:00
Q2;2024;ETHNOGRAPHIC_OBJECT;21505.17;14883.06;107;2024-07-25 14:37:00
Q2;2024;FASHION;39071.28;17667.14;265;2024-07-24 15:37:00
Q2;2024;FILM_AND_MEDIA;20095.16;12120.97;139;2024-07-26 09:31:00
Q2;2024;FILM_PROP;69544.31;26650.55;449;2024-07-24 12:37:00
Q2;2024;FURNITURE;56305.34;31064.47;365;2024-07-28 13:18:00
Q2;2024;GLASS;19502.99;10419.97;113;2024-07-25 10:31:00
Q2;2024;HISTORIC_OBJECT;38514.26;44883.65;275;2024-07-24 15:37:00
Q2;2024;INDUSTRIAL_OBJECT;39301.93;18594.55;241;2024-07-25 13:12:00
Q2;2024;JEWELRY;45513.32;29119.23;253;2024-07-27 17:18:00
Q2;2024;MANUSCRIPT;37767.95;51353.38;247;2024-07-28 10:12:00
Q2;2024;MAP;35311.72;14346.25;201;2024-07-28 17:18:00
Q2;2024;METALWORK;32403.66;18147.38;213;2024-07-28 17:18:00
Q2;2024;MUSICAL_INSTRUMENT;59676.04;27494.93;393;2024-07-25 16:52:00
Q2;2024;MUSIC_MEMORABILIA;82269.18;27873.19;496;2024-07-28 14:37:00
Q2;2024;NATURAL_HISTORY;21632.84;14956.33;101;2024-07-24 14:12:00
Q2;2024;PAINTING;182144.12;162390.05;1023;2024-07-26 14:05:00
Q2;2024;PHOTOGRAPH;62417.35;25931.22;428;2024-07-26 15:18:00
Q2;2024;PRINT;76277.53;32397.39;504;2024-07-24 16:52:00
Q2;2024;RARE_BOOK;42587.32;20547.30;286;2024-07-29 17:24:00
Q2;2024;RELIGIOUS_OBJECT;38574.95;29823.28;218;2024-07-25 12:18:00
Q2;2024;SCIENTIFIC_INSTRUMENT;35556.46;20017.15;210;2024-07-28 12:18:00
Q2;2024;SCULPTURE;135655.02;99283.19;645;2024-07-29 14:37:00
Q2;2024;SPORTS_MEMORABILIA;115326.79;32901.63;630;2024-07-25 09:18:00
Q2;2024;TECHNOLOGY;76928.54;28646.30;419;2024-07-24 12:24:00
Q2;2024;TEXTILE;45555.90;25256.02;311;2024-07-25 15:05:00
Q2;2024;THEATRE_OBJECT;29014.64;15459.02;184;2024-07-27 09:12:00
Q2;2024;TRANSPORTATION;41152.94;33134.21;200;2024-07-24 11:31:00
Q3;2024;ARCHAEOLOGICAL_OBJECT;0.00;10061.59;0;2024-10-20 12:44:00
Q3;2024;ARCHITECTURAL_ELEMENT;0.00;18414.70;0;2024-10-20 10:31:00
Q3;2024;ARCHIVAL_COLLECTION;0.00;40793.02;0;2024-10-18 17:31:00
Q3;2024;CERAMIC;0.00;19501.22;0;2024-10-23 12:52:00
Q3;2024;COLLECTION;0.00;19790.95;0;2024-10-21 15:12:00
Q3;2024;DESIGN_OBJECT;0.00;22275.12;1;2024-10-19 17:44:00
Q3;2024;DRAWING;0.00;22831.48;0;2024-10-22 10:12:00
Q3;2024;ETHNOGRAPHIC_OBJECT;0.00;13151.40;0;2024-10-21 16:44:00
Q3;2024;FASHION;0.00;14639.80;0;2024-10-18 15:24:00
Q3;2024;FILM_AND_MEDIA;0.00;10398.37;0;2024-10-20 13:18:00
Q3;2024;FILM_PROP;29993.00;27471.49;2;2024-10-21 13:05:00
Q3;2024;FURNITURE;6280.00;27635.30;1;2024-10-21 11:31:00
Q3;2024;GLASS;0.00;10315.49;0;2024-10-23 10:12:00
Q3;2024;HISTORIC_OBJECT;5858.00;24167.25;1;2024-10-22 16:31:00
Q3;2024;INDUSTRIAL_OBJECT;0.00;16360.69;0;2024-10-21 12:05:00
Q3;2024;JEWELRY;8948.00;17795.05;1;2024-10-19 14:31:00
Q3;2024;MANUSCRIPT;0.00;24736.63;0;2024-10-18 17:18:00
Q3;2024;MAP;0.00;12230.73;0;2024-10-18 13:05:00
Q3;2024;METALWORK;0.00;13173.20;0;2024-10-20 13:31:00
Q3;2024;MUSICAL_INSTRUMENT;4350.00;27638.13;2;2024-10-20 09:44:00
Q3;2024;MUSIC_MEMORABILIA;22224.00;22909.33;1;2024-10-20 17:05:00
Q3;2024;NATURAL_HISTORY;0.00;17058.33;2;2024-10-23 14:24:00
Q3;2024;PAINTING;0.00;71758.84;0;2024-10-23 15:24:00
Q3;2024;PHOTOGRAPH;15756.75;24693.18;1;2024-10-22 16:18:00
Q3;2024;PRINT;0.00;26301.97;1;2024-10-22 14:37:00
Q3;2024;RARE_BOOK;0.00;16668.10;0;2024-10-20 09:44:00
Q3;2024;RELIGIOUS_OBJECT;0.00;21986.18;0;2024-10-21 11:52:00
Q3;2024;SCIENTIFIC_INSTRUMENT;0.00;15727.83;0;2024-10-19 14:12:00
Q3;2024;SCULPTURE;0.00;45985.20;0;2024-10-18 15:24:00
Q3;2024;SPORTS_MEMORABILIA;0.00;26685.87;2;2024-10-18 11:44:00
Q3;2024;TECHNOLOGY;0.00;19226.03;0;2024-10-19 12:44:00
Q3;2024;TEXTILE;0.00;21867.94;1;2024-10-18 15:12:00
Q3;2024;THEATRE_OBJECT;0.00;12177.34;0;2024-10-20 15:18:00
Q3;2024;TRANSPORTATION;0.00;23572.25;0;2024-10-19 14:52:00
Q4;2024;ARCHAEOLOGICAL_OBJECT;68175.00;35636.15;7;2025-01-15 11:52:00
Q4;2024;ARCHITECTURAL_ELEMENT;31787.50;38732.55;5;2025-01-12 10:31:00
Q4;2024;ARCHIVAL_COLLECTION;72686.00;65790.71;7;2025-01-11 12:44:00
Q4;2024;CERAMIC;91040.00;63359.39;10;2025-01-11 11:24:00
Q4;2024;COLLECTION;8437.50;38008.16;5;2025-01-10 14:37:00
Q4;2024;DESIGN_OBJECT;130841.50;78989.26;15;2025-01-14 14:37:00
Q4;2024;DRAWING;181898.00;100813.43;21;2025-01-13 16:05:00
Q4;2024;ETHNOGRAPHIC_OBJECT;12042.00;22027.58;2;2025-01-10 11:24:00
Q4;2024;FASHION;216332.50;72529.76;13;2025-01-14 15:44:00
Q4;2024;FILM_AND_MEDIA;89130.00;45799.62;9;2025-01-14 13:24:00
Q4;2024;FILM_PROP;741263.50;187313.45;45;2025-01-15 16:44:00
Q4;2024;FURNITURE;44868.00;47321.25;7;2025-01-13 10:12:00
Q4;2024;GLASS;12838.00;26025.71;4;2025-01-15 17:18:00
Q4;2024;HISTORIC_OBJECT;181253.50;70393.48;11;2025-01-12 09:37:00
Q4;2024;INDUSTRIAL_OBJECT;43600.00;45316.86;8;2025-01-11 14:12:00
Q4;2024;JEWELRY;248887.00;76484.46;14;2025-01-15 15:44:00
Q4;2024;MANUSCRIPT;56168.00;59060.24;9;2025-01-14 11:24:00
Q4;2024;MAP;162116.00;38590.13;7;2025-01-11 10:12:00
Q4;2024;METALWORK;167390.00;48873.44;8;2025-01-14 16:12:00
Q4;2024;MUSICAL_INSTRUMENT;148490.00;102511.43;21;2025-01-10 10:12:00
Q4;2024;MUSIC_MEMORABILIA;276863.75;114221.73;24;2025-01-11 13:31:00
Q4;2024;NATURAL_HISTORY;126472.00;34553.55;4;2025-01-14 11:44:00
Q4;2024;PAINTING;816958.50;300512.42;60;2025-01-15 16:31:00
Q4;2024;PHOTOGRAPH;247651.50;160816.29;36;2025-01-14 13:05:00
Q4;2024;PRINT;273526.80;144660.05;33;2025-01-14 10:12:00
Q4;2024;RARE_BOOK;169680.75;80191.17;17;2025-01-15 16:44:00
Q4;2024;RELIGIOUS_OBJECT;30380.00;44303.28;6;2025-01-10 13:52:00
Q4;2024;SCIENTIFIC_INSTRUMENT;130340.00;51889.71;9;2025-01-14 10:37:00
Q4;2024;SCULPTURE;478796.40;177677.94;32;2025-01-10 11:24:00
Q4;2024;SPORTS_MEMORABILIA;752206.50;150035.57;32;2025-01-11 11:52:00
Q4;2024;TECHNOLOGY;195226.25;85336.09;17;2025-01-13 16:24:00
Q4;2024;TEXTILE;84520.00;61262.08;10;2025-01-14 10:44:00
Q4;2024;THEATRE_OBJECT;51880.00;38357.84;7;2025-01-14 17:12:00
Q4;2024;TRANSPORTATION;22718.50;42605.22;5;2025-01-15 16:52:00
Q1;2025;ARCHAEOLOGICAL_OBJECT;38460.00;36410.07;7;2025-04-09 13:05:00
Q1;2025;ARCHITECTURAL_ELEMENT;191001.00;98744.64;19;2025-04-11 11:24:00
Q1;2025;ARCHIVAL_COLLECTION;234141.00;105249.56;20;2025-04-10 14:12:00
Q1;2025;CERAMIC;183458.00;119654.13;26;2025-04-13 15:44:00
Q1;2025;COLLECTION;233878.75;87838.91;17;2025-04-11 14:12:00
Q1;2025;DESIGN_OBJECT;219471.80;128825.95;27;2025-04-12 12:18:00
Q1;2025;DRAWING;440408.00;161318.23;40;2025-04-08 13:05:00
Q1;2025;ETHNOGRAPHIC_OBJECT;144180.00;58294.49;11;2025-04-12 09:31:00
Q1;2025;FASHION;423457.50;133518.94;30;2025-04-09 14:18:00
Q1;2025;FILM_AND_MEDIA;159366.00;53212.31;10;2025-04-09 09:05:00
Q1;2025;FILM_PROP;951932.50;197368.51;46;2025-04-13 09:05:00
Q1;2025;FURNITURE;313972.00;125748.20;30;2025-04-12 15:52:00
Q1;2025;GLASS;90564.00;44708.87;10;2025-04-12 10:31:00
Q1;2025;HISTORIC_OBJECT;196670.00;103589.75;20;2025-04-13 09:44:00
Q1;2025;INDUSTRIAL_OBJECT;309400.00;102774.92;23;2025-04-11 12:05:00
Q1;2025;JEWELRY;489446.00;105564.98;25;2025-04-12 09:52:00
Q1;2025;MANUSCRIPT;216032.00;108257.73;21;2025-04-08 13:18:00
Q1;2025;MAP;73250.00;42679.13;8;2025-04-11 16:31:00
Q1;2025;METALWORK;125410.00;62859.21;12;2025-04-11 13:12:00
Q1;2025;MUSICAL_INSTRUMENT;311816.00;144882.27;32;2025-04-09 13:44:00
Q1;2025;MUSIC_MEMORABILIA;628958.00;163368.04;37;2025-04-11 10:05:00
Q1;2025;NATURAL_HISTORY;196474.00;57434.64;12;2025-04-08 16:05:00
Q1;2025;PAINTING;1084054.00;407078.79;92;2025-04-13 13:31:00
Q1;2025;PHOTOGRAPH;339406.90;185109.36;47;2025-04-13 09:12:00
Q1;2025;PRINT;305641.00;135645.94;34;2025-04-10 16:37:00
Q1;2025;RARE_BOOK;290310.50;103138.78;21;2025-04-09 14:24:00
Q1;2025;RELIGIOUS_OBJECT;94975.00;53440.99;8;2025-04-09 12:18:00
Q1;2025;SCIENTIFIC_INSTRUMENT;145520.00;51179.68;10;2025-04-13 17:05:00
Q1;2025;SCULPTURE;835835.50;245550.26;48;2025-04-09 16:37:00
Q1;2025;SPORTS_MEMORABILIA;1171735.50;251609.88;67;2025-04-08 10:37:00
Q1;2025;TECHNOLOGY;650502.75;153240.31;38;2025-04-09 09:31:00
Q1;2025;TEXTILE;216890.00;122519.54;30;2025-04-08 11:37:00
Q1;2025;THEATRE_OBJECT;152750.00;72642.59;16;2025-04-12 12:18:00
Q1;2025;TRANSPORTATION;232144.50;76540.40;14;2025-04-12 09:12:00
Q2;2025;ARCHAEOLOGICAL_OBJECT;15257.50;14300.18;2;2025-04-30 11:52:00
Q2;2025;ARCHITECTURAL_ELEMENT;40296.00;29719.59;3;2025-04-30 09:44:00
Q2;2025;ARCHIVAL_COLLECTION;73458.50;52171.94;9;2025-04-30 16:18:00
Q2;2025;CERAMIC;84280.00;34424.89;7;2025-04-30 14:31:00
Q2;2025;COLLECTION;103668.75;35012.12;7;2025-04-30 12:37:00
Q2;2025;DESIGN_OBJECT;113693.75;43108.68;10;2025-04-30 15:52:00
Q2;2025;DRAWING;83842.00;48235.90;10;2025-04-30 10:18:00
Q2;2025;ETHNOGRAPHIC_OBJECT;176360.00;39373.63;10;2025-04-30 11:12:00
Q2;2025;FASHION;115717.50;47934.92;11;2025-04-30 13:05:00
Q2;2025;FILM_AND_MEDIA;96320.00;29058.85;8;2025-04-30 13:31:00
Q2;2025;FILM_PROP;323456.50;68818.82;20;2025-04-30 12:37:00
Q2;2025;FURNITURE;90490.00;34260.88;6;2025-04-30 12:31:00
Q2;2025;GLASS;45940.00;18630.92;3;2025-04-30 12:31:00
Q2;2025;HISTORIC_OBJECT;125830.50;52944.22;11;2025-04-30 11:05:00
Q2;2025;INDUSTRIAL_OBJECT;72360.00;27000.10;5;2025-04-30 17:24:00
Q2;2025;JEWELRY;190215.00;38854.62;10;2025-04-30 17:12:00
Q2;2025;MANUSCRIPT;72143.00;38066.88;7;2025-04-30 16:37:00
Q2;2025;MAP;46118.00;23117.89;6;2025-04-30 16:31:00
Q2;2025;METALWORK;115380.00;32456.30;8;2025-04-30 16:52:00
Q2;2025;MUSICAL_INSTRUMENT;227328.00;65373.83;18;2025-04-30 14:31:00
Q2;2025;MUSIC_MEMORABILIA;383565.50;72646.57;19;2025-04-30 16:37:00
Q2;2025;NATURAL_HISTORY;95964.00;20753.79;3;2025-04-30 16:18:00
Q2;2025;PAINTING;637272.00;171394.47;40;2025-04-30 15:18:00
Q2;2025;PHOTOGRAPH;143119.85;60107.75;14;2025-04-30 11:24:00
Q2;2025;PRINT;117513.00;48334.67;13;2025-04-30 16:18:00
Q2;2025;RARE_BOOK;132016.50;41638.64;9;2025-04-30 15:31:00
Q2;2025;RELIGIOUS_OBJECT;127214.00;40223.85;8;2025-04-30 15:37:00
Q2;2025;SCIENTIFIC_INSTRUMENT;101020.00;23946.53;5;2025-04-30 11:37:00
Q2;2025;SCULPTURE;367820.00;97810.55;18;2025-04-30 10:37:00
Q2;2025;SPORTS_MEMORABILIA;316734.50;79757.15;24;2025-04-30 15:37:00
Q2;2025;TECHNOLOGY;157493.75;58637.73;15;2025-04-30 15:05:00
Q2;2025;TEXTILE;42380.00;32331.18;6;2025-04-30 16:18:00
Q2;2025;THEATRE_OBJECT;34910.00;20477.73;4;2025-04-30 14:37:00
Q2;2025;TRANSPORTATION;123348.50;39074.23;7;2025-04-30 10:12:00
